metric,importance,importance_sd
intersection_ratio_bike_road,0.3968,0.0216
bike_lcc_share_of_road,0.1186,0.0092
modal_directness_gap,0.0456,0.0047
low_stress_coverage,0.0361,0.0053
n_components_bike,0.0293,0.0026
bikeable_length_share,0.0287,0.0021
circuity_avg_bike,0.0256,0.0017
components_per_km_bike,0.0232,0.0016
bike_offroad_share,0.0194,0.0027
betweenness_median_bike,0.0163,0.0013
edge_length_avg_m_road,0.015,0.0022
lts1_coverage,0.0143,0.0013
lcc_length_km_bike,0.0128,0.0014
low_stress_route_fraction,0.0095,0.0007
length_km_bike,0.0093,0.0015
lcc_length_km_road,0.0088,0.0007
mean_route_lts,0.0083,0.0007
clustering_mean_bike,0.0082,0.0009
entropy_gap_kl,0.0079,0.0007
lts2_coverage,0.0074,0.0007
