snapshot_date,source,country,metric_version,place_id,metric,version,value,status,detail
2025-01-01,osm,UK,0.5.0,"Aberdeen, United Kingdom",betweenness_mean_road,0.1.0,0.0071698245866968,ok,
2025-01-01,osm,UK,0.5.0,"Aberdeen, United Kingdom",betweenness_mean_bike,0.1.0,0.0001414759400678,ok,
2025-01-01,osm,UK,0.5.0,"Aberdeen, United Kingdom",betweenness_median_road,0.1.0,0.0003752212269485,ok,
2025-01-01,osm,UK,0.5.0,"Aberdeen, United Kingdom",betweenness_median_bike,0.1.0,6.369424735211428e-06,ok,
2025-01-01,osm,UK,0.5.0,"Aberdeen, United Kingdom",closeness_mean_road,0.1.0,0.0001370738765893,ok,
2025-01-01,osm,UK,0.5.0,"Aberdeen, United Kingdom",closeness_mean_bike,0.1.0,3.400562043717098e-05,ok,
2025-01-01,osm,UK,0.5.0,"Aberdeen, United Kingdom",closeness_median_road,0.1.0,0.000135913975457,ok,
2025-01-01,osm,UK,0.5.0,"Aberdeen, United Kingdom",closeness_median_bike,0.1.0,3.09956324153466e-05,ok,
2025-01-01,osm,UK,0.5.0,"Aberdeen, United Kingdom",clustering_mean_road,0.1.0,0.0179367285900838,ok,
2025-01-01,osm,UK,0.5.0,"Aberdeen, United Kingdom",clustering_mean_bike,0.1.0,0.0090788601722995,ok,
2025-01-01,osm,UK,0.5.0,"Aberdeen, United Kingdom",n_nodes_road,0.1.0,7913.0,ok,
2025-01-01,osm,UK,0.5.0,"Aberdeen, United Kingdom",n_nodes_bike,0.1.0,2515.0,ok,
2025-01-01,osm,UK,0.5.0,"Aberdeen, United Kingdom",n_edges_road,0.1.0,9462.0,ok,
2025-01-01,osm,UK,0.5.0,"Aberdeen, United Kingdom",n_edges_bike,0.1.0,4669.0,ok,
2025-01-01,osm,UK,0.5.0,"Aberdeen, United Kingdom",length_km_road,0.1.0,992.6417114300028,ok,
2025-01-01,osm,UK,0.5.0,"Aberdeen, United Kingdom",length_km_bike,0.1.0,348.5771137033439,ok,
2025-01-01,osm,UK,0.5.0,"Aberdeen, United Kingdom",edge_length_avg_m_road,0.1.0,104.90823413971708,ok,
2025-01-01,osm,UK,0.5.0,"Aberdeen, United Kingdom",edge_length_avg_m_bike,0.1.0,74.65776691011864,ok,
2025-01-01,osm,UK,0.5.0,"Aberdeen, United Kingdom",k_avg_road,0.1.0,2.3915076456464046,ok,
2025-01-01,osm,UK,0.5.0,"Aberdeen, United Kingdom",k_avg_bike,0.1.0,3.7129224652087474,ok,
2025-01-01,osm,UK,0.5.0,"Aberdeen, United Kingdom",intersection_count_road,0.1.0,5328.0,ok,
2025-01-01,osm,UK,0.5.0,"Aberdeen, United Kingdom",intersection_count_bike,0.1.0,1696.0,ok,
2025-01-01,osm,UK,0.5.0,"Aberdeen, United Kingdom",intersection_density_per_km_road,0.1.0,5.367495581386023,ok,
2025-01-01,osm,UK,0.5.0,"Aberdeen, United Kingdom",intersection_density_per_km_bike,0.1.0,4.865494415228243,ok,
2025-01-01,osm,UK,0.5.0,"Aberdeen, United Kingdom",dead_end_proportion_road,0.1.0,0.3266776191077973,ok,
2025-01-01,osm,UK,0.5.0,"Aberdeen, United Kingdom",dead_end_proportion_bike,0.1.0,0.010337972166998,ok,
