snapshot_date,source,country,metric_version,place_id,metric,version,value,status,detail
2025-01-01,osm,BE,0.5.0,"Bruxelles, Belgium",betweenness_mean_road,0.1.0,0.026404606336297,ok,
2025-01-01,osm,BE,0.5.0,"Bruxelles, Belgium",betweenness_mean_bike,0.1.0,0.0011993687086351,ok,
2025-01-01,osm,BE,0.5.0,"Bruxelles, Belgium",betweenness_median_road,0.1.0,0.0078330714269304,ok,
2025-01-01,osm,BE,0.5.0,"Bruxelles, Belgium",betweenness_median_bike,0.1.0,5.146123485913895e-05,ok,
2025-01-01,osm,BE,0.5.0,"Bruxelles, Belgium",closeness_mean_road,0.1.0,0.0002332777735487,ok,
2025-01-01,osm,BE,0.5.0,"Bruxelles, Belgium",closeness_mean_bike,0.1.0,7.882725909091778e-05,ok,
2025-01-01,osm,BE,0.5.0,"Bruxelles, Belgium",closeness_median_road,0.1.0,0.000240508446071,ok,
2025-01-01,osm,BE,0.5.0,"Bruxelles, Belgium",closeness_median_bike,0.1.0,6.887043887536705e-05,ok,
2025-01-01,osm,BE,0.5.0,"Bruxelles, Belgium",clustering_mean_road,0.1.0,0.0489275801160736,ok,
2025-01-01,osm,BE,0.5.0,"Bruxelles, Belgium",clustering_mean_bike,0.1.0,0.0071934835501957,ok,
2025-01-01,osm,BE,0.5.0,"Bruxelles, Belgium",n_nodes_road,0.1.0,1321.0,ok,
2025-01-01,osm,BE,0.5.0,"Bruxelles, Belgium",n_nodes_bike,0.1.0,3151.0,ok,
2025-01-01,osm,BE,0.5.0,"Bruxelles, Belgium",n_edges_road,0.1.0,1969.0,ok,
2025-01-01,osm,BE,0.5.0,"Bruxelles, Belgium",n_edges_bike,0.1.0,5671.0,ok,
2025-01-01,osm,BE,0.5.0,"Bruxelles, Belgium",length_km_road,0.1.0,259.1009254248915,ok,
2025-01-01,osm,BE,0.5.0,"Bruxelles, Belgium",length_km_bike,0.1.0,212.4538072053399,ok,
2025-01-01,osm,BE,0.5.0,"Bruxelles, Belgium",edge_length_avg_m_road,0.1.0,131.590109408274,ok,
2025-01-01,osm,BE,0.5.0,"Bruxelles, Belgium",edge_length_avg_m_bike,0.1.0,37.46320000094161,ok,
2025-01-01,osm,BE,0.5.0,"Bruxelles, Belgium",k_avg_road,0.1.0,2.98107494322483,ok,
2025-01-01,osm,BE,0.5.0,"Bruxelles, Belgium",k_avg_bike,0.1.0,3.5994922246905743,ok,
2025-01-01,osm,BE,0.5.0,"Bruxelles, Belgium",intersection_count_road,0.1.0,1174.0,ok,
