snapshot_date,source,country,metric_version,place_id,metric,version,value,status,detail
2025-01-01,osm,FR,0.5.0,"Calais, France",betweenness_mean_road,0.1.0,0.01752219788851748,ok,
2025-01-01,osm,FR,0.5.0,"Calais, France",betweenness_mean_bike,0.1.0,0.0025145958122152257,ok,
2025-01-01,osm,FR,0.5.0,"Calais, France",betweenness_median_road,0.1.0,0.0061026762806145754,ok,
2025-01-01,osm,FR,0.5.0,"Calais, France",betweenness_median_bike,0.1.0,0.000824604515435417,ok,
2025-01-01,osm,FR,0.5.0,"Calais, France",closeness_mean_road,0.1.0,0.00034191737234024686,ok,
2025-01-01,osm,FR,0.5.0,"Calais, France",closeness_mean_bike,0.1.0,0.00018596763104425148,ok,
2025-01-01,osm,FR,0.5.0,"Calais, France",closeness_median_road,0.1.0,0.00034241766083487394,ok,
2025-01-01,osm,FR,0.5.0,"Calais, France",closeness_median_bike,0.1.0,0.00019271676675780184,ok,
2025-01-01,osm,FR,0.5.0,"Calais, France",clustering_mean_road,0.1.0,0.031331592689295036,ok,
2025-01-01,osm,FR,0.5.0,"Calais, France",clustering_mean_bike,0.1.0,0.011516731855714906,ok,
2025-01-01,osm,FR,0.5.0,"Calais, France",n_nodes_road,0.1.0,1532.0,ok,
2025-01-01,osm,FR,0.5.0,"Calais, France",n_nodes_bike,0.1.0,767.0,ok,
2025-01-01,osm,FR,0.5.0,"Calais, France",n_edges_road,0.1.0,2198.0,ok,
2025-01-01,osm,FR,0.5.0,"Calais, France",n_edges_bike,0.1.0,1475.0,ok,
2025-01-01,osm,FR,0.5.0,"Calais, France",length_km_road,0.1.0,274.0972666243367,ok,
2025-01-01,osm,FR,0.5.0,"Calais, France",length_km_bike,0.1.0,93.87225299585704,ok,
2025-01-01,osm,FR,0.5.0,"Calais, France",edge_length_avg_m_road,0.1.0,124.7030330410995,ok,
2025-01-01,osm,FR,0.5.0,"Calais, France",edge_length_avg_m_bike,0.1.0,63.64220542092003,ok,
2025-01-01,osm,FR,0.5.0,"Calais, France",k_avg_road,0.1.0,2.8694516971279374,ok,
2025-01-01,osm,FR,0.5.0,"Calais, France",k_avg_bike,0.1.0,3.8461538461538463,ok,
2025-01-01,osm,FR,0.5.0,"Calais, France",intersection_count_road,0.1.0,1295.0,ok,
2025-01-01,osm,FR,0.5.0,"Calais, France",intersection_count_bike,0.1.0,535.0,ok,
2025-01-01,osm,FR,0.5.0,"Calais, France",intersection_density_per_km_road,0.1.0,4.724600197399483,ok,
2025-01-01,osm,FR,0.5.0,"Calais, France",intersection_density_per_km_bike,0.1.0,5.699234682517013,ok,
