snapshot_date,source,country,metric_version,place_id,metric,version,value,status,detail
2025-01-01,osm,UK,0.5.0,"Cheshire West and Chester, United Kingdom",betweenness_mean_road,0.1.0,0.0047146137794682,ok,
2025-01-01,osm,UK,0.5.0,"Cheshire West and Chester, United Kingdom",betweenness_mean_bike,0.1.0,0.0005019062258329,ok,
2025-01-01,osm,UK,0.5.0,"Cheshire West and Chester, United Kingdom",betweenness_median_road,0.1.0,0.0001179732192582,ok,
2025-01-01,osm,UK,0.5.0,"Cheshire West and Chester, United Kingdom",betweenness_median_bike,0.1.0,4.131011379245251e-06,ok,
2025-01-01,osm,UK,0.5.0,"Cheshire West and Chester, United Kingdom",closeness_mean_road,0.1.0,5.044304030715657e-05,ok,
2025-01-01,osm,UK,0.5.0,"Cheshire West and Chester, United Kingdom",closeness_mean_bike,0.1.0,2.6977954307478007e-05,ok,
2025-01-01,osm,UK,0.5.0,"Cheshire West and Chester, United Kingdom",closeness_median_road,0.1.0,5.035101549812514e-05,ok,
2025-01-01,osm,UK,0.5.0,"Cheshire West and Chester, United Kingdom",closeness_median_bike,0.1.0,2.0338215927044552e-05,ok,
2025-01-01,osm,UK,0.5.0,"Cheshire West and Chester, United Kingdom",clustering_mean_road,0.1.0,0.0108378548399779,ok,
2025-01-01,osm,UK,0.5.0,"Cheshire West and Chester, United Kingdom",clustering_mean_bike,0.1.0,0.0111536949685534,ok,
2025-01-01,osm,UK,0.5.0,"Cheshire West and Chester, United Kingdom",n_nodes_road,0.1.0,16956.0,ok,
2025-01-01,osm,UK,0.5.0,"Cheshire West and Chester, United Kingdom",n_nodes_bike,0.1.0,3392.0,ok,
2025-01-01,osm,UK,0.5.0,"Cheshire West and Chester, United Kingdom",n_edges_road,0.1.0,18756.0,ok,
2025-01-01,osm,UK,0.5.0,"Cheshire West and Chester, United Kingdom",n_edges_bike,0.1.0,6130.0,ok,
2025-01-01,osm,UK,0.5.0,"Cheshire West and Chester, United Kingdom",length_km_road,0.1.0,2350.0461487160387,ok,
2025-01-01,osm,UK,0.5.0,"Cheshire West and Chester, United Kingdom",length_km_bike,0.1.0,690.1447372559257,ok,
2025-01-01,osm,UK,0.5.0,"Cheshire West and Chester, United Kingdom",edge_length_avg_m_road,0.1.0,125.29569997419698,ok,
2025-01-01,osm,UK,0.5.0,"Cheshire West and Chester, United Kingdom",edge_length_avg_m_bike,0.1.0,112.5847858492538,ok,
2025-01-01,osm,UK,0.5.0,"Cheshire West and Chester, United Kingdom",k_avg_road,0.1.0,2.2123142250530785,ok,
2025-01-01,osm,UK,0.5.0,"Cheshire West and Chester, United Kingdom",k_avg_bike,0.1.0,3.61438679245283,ok,
2025-01-01,osm,UK,0.5.0,"Cheshire West and Chester, United Kingdom",intersection_count_road,0.1.0,10068.0,ok,
2025-01-01,osm,UK,0.5.0,"Cheshire West and Chester, United Kingdom",intersection_count_bike,0.1.0,2240.0,ok,
2025-01-01,osm,UK,0.5.0,"Cheshire West and Chester, United Kingdom",intersection_density_per_km_road,0.1.0,4.284171187659744,ok,
2025-01-01,osm,UK,0.5.0,"Cheshire West and Chester, United Kingdom",intersection_density_per_km_bike,0.1.0,3.2456959809712247,ok,
2025-01-01,osm,UK,0.5.0,"Cheshire West and Chester, United Kingdom",dead_end_proportion_road,0.1.0,0.4062278839348903,ok,
2025-01-01,osm,UK,0.5.0,"Cheshire West and Chester, United Kingdom",dead_end_proportion_bike,0.1.0,0.0200471698113207,ok,
2025-01-01,osm,UK,0.5.0,"Cheshire West and Chester, United Kingdom",three_way_proportion_road,0.1.0,0.5692970040103799,ok,
2025-01-01,osm,UK,0.5.0,"Cheshire West and Chester, United Kingdom",three_way_proportion_bike,0.1.0,0.0215212264150943,ok,
2025-01-01,osm,UK,0.5.0,"Cheshire West and Chester, United Kingdom",four_way_proportion_road,0.1.0,0.0244751120547298,ok,
2025-01-01,osm,UK,0.5.0,"Cheshire West and Chester, United Kingdom",four_way_proportion_bike,0.1.0,0.6388561320754716,ok,
2025-01-01,osm,UK,0.5.0,"Cheshire West and Chester, United Kingdom",self_loop_proportion_road,0.1.0,0.001066325442525,ok,
2025-01-01,osm,UK,0.5.0,"Cheshire West and Chester, United Kingdom",self_loop_proportion_bike,0.1.0,0.0006525285481239,ok,
2025-01-01,osm,UK,0.5.0,"Cheshire West and Chester, United Kingdom",circuity_avg_road,0.1.0,1.0745277233201964,ok,
2025-01-01,osm,UK,0.5.0,"Cheshire West and Chester, United Kingdom",circuity_avg_bike,0.1.0,1.0632674181122828,ok,
2025-01-01,osm,UK,0.5.0,"Cheshire West and Chester, United Kingdom",linearity_mean_road,0.1.0,0.96659903137079,ok,
2025-01-01,osm,UK,0.5.0,"Cheshire West and Chester, United Kingdom",linearity_mean_bike,0.1.0,0.9629779873592448,ok,
2025-01-01,osm,UK,0.5.0,"Cheshire West and Chester, United Kingdom",linearity_median_road,0.1.0,0.9992439861697144,ok,
2025-01-01,osm,UK,0.5.0,"Cheshire West and Chester, United Kingdom",linearity_median_bike,0.1.0,0.9967927794900776,ok,
2025-01-01,osm,UK,0.5.0,"Cheshire West and Chester, United Kingdom",orientation_entropy_road,0.1.0,3.5786983932820307,ok,
2025-01-01,osm,UK,0.5.0,"Cheshire West and Chester, United Kingdom",orientation_entropy_bike,0.1.0,3.550502273500695,ok,
2025-01-01,osm,UK,0.5.0,"Cheshire West and Chester, United Kingdom",orientation_order_road,0.1.0,0.0043830360057789,ok,
2025-01-01,osm,UK,0.5.0,"Cheshire West and Chester, United Kingdom",orientation_order_bike,0.1.0,0.0298272669172564,ok,
2025-01-01,osm,UK,0.5.0,"Cheshire West and Chester, United Kingdom",connectivity_ratio_road,0.1.0,0.3687625339153002,ok,
2025-01-01,osm,UK,0.5.0,"Cheshire West and Chester, United Kingdom",connectivity_ratio_bike,0.1.0,0.6027531956735497,ok,
2025-01-01,osm,UK,0.5.0,"Cheshire West and Chester, United Kingdom",meshedness_road,0.1.0,0.0531158757778629,ok,
2025-01-01,osm,UK,0.5.0,"Cheshire West and Chester, United Kingdom",meshedness_bike,0.1.0,0.456999557456852,ok,
2025-01-01,osm,UK,0.5.0,"Cheshire West and Chester, United Kingdom",n_components_road,0.1.0,1.0,ok,
