snapshot_date,source,country,metric_version,place_id,metric,version,value,status,detail
2025-01-01,osm,UK,0.5.0,"Darlington, United Kingdom",betweenness_mean_road,0.1.0,0.0110171672686002,ok,
2025-01-01,osm,UK,0.5.0,"Darlington, United Kingdom",betweenness_mean_bike,0.1.0,0.0009485037535212,ok,
2025-01-01,osm,UK,0.5.0,"Darlington, United Kingdom",betweenness_median_road,0.1.0,0.0006419661741828,ok,
2025-01-01,osm,UK,0.5.0,"Darlington, United Kingdom",betweenness_median_bike,0.1.0,7.30867365750778e-05,ok,
2025-01-01,osm,UK,0.5.0,"Darlington, United Kingdom",closeness_mean_road,0.1.0,0.0002013795187688,ok,
2025-01-01,osm,UK,0.5.0,"Darlington, United Kingdom",closeness_mean_bike,0.1.0,7.033086369958161e-05,ok,
2025-01-01,osm,UK,0.5.0,"Darlington, United Kingdom",closeness_median_road,0.1.0,0.0002066795318196,ok,
2025-01-01,osm,UK,0.5.0,"Darlington, United Kingdom",closeness_median_bike,0.1.0,6.120990168342986e-05,ok,
2025-01-01,osm,UK,0.5.0,"Darlington, United Kingdom",clustering_mean_road,0.1.0,0.0096937113066145,ok,
2025-01-01,osm,UK,0.5.0,"Darlington, United Kingdom",clustering_mean_bike,0.1.0,0.027301315037164,ok,
2025-01-01,osm,UK,0.5.0,"Darlington, United Kingdom",n_nodes_road,0.1.0,4092.0,ok,
2025-01-01,osm,UK,0.5.0,"Darlington, United Kingdom",n_nodes_bike,0.1.0,1166.0,ok,
2025-01-01,osm,UK,0.5.0,"Darlington, United Kingdom",n_edges_road,0.1.0,4661.0,ok,
2025-01-01,osm,UK,0.5.0,"Darlington, United Kingdom",n_edges_bike,0.1.0,2327.0,ok,
2025-01-01,osm,UK,0.5.0,"Darlington, United Kingdom",length_km_road,0.1.0,536.9962156983764,ok,
2025-01-01,osm,UK,0.5.0,"Darlington, United Kingdom",length_km_bike,0.1.0,217.0375710035445,ok,
2025-01-01,osm,UK,0.5.0,"Darlington, United Kingdom",edge_length_avg_m_road,0.1.0,115.21051613352851,ok,
2025-01-01,osm,UK,0.5.0,"Darlington, United Kingdom",edge_length_avg_m_bike,0.1.0,93.26926128214204,ok,
2025-01-01,osm,UK,0.5.0,"Darlington, United Kingdom",k_avg_road,0.1.0,2.2781036168132944,ok,
2025-01-01,osm,UK,0.5.0,"Darlington, United Kingdom",k_avg_bike,0.1.0,3.991423670668954,ok,
2025-01-01,osm,UK,0.5.0,"Darlington, United Kingdom",intersection_count_road,0.1.0,2539.0,ok,
2025-01-01,osm,UK,0.5.0,"Darlington, United Kingdom",intersection_count_bike,0.1.0,819.0,ok,
2025-01-01,osm,UK,0.5.0,"Darlington, United Kingdom",intersection_density_per_km_road,0.1.0,4.728152500475203,ok,
2025-01-01,osm,UK,0.5.0,"Darlington, United Kingdom",intersection_density_per_km_bike,0.1.0,3.773540204182549,ok,
2025-01-01,osm,UK,0.5.0,"Darlington, United Kingdom",dead_end_proportion_road,0.1.0,0.3795210166177908,ok,
2025-01-01,osm,UK,0.5.0,"Darlington, United Kingdom",dead_end_proportion_bike,0.1.0,0.0094339622641509,ok,
2025-01-01,osm,UK,0.5.0,"Darlington, United Kingdom",three_way_proportion_road,0.1.0,0.5835777126099707,ok,
2025-01-01,osm,UK,0.5.0,"Darlington, United Kingdom",three_way_proportion_bike,0.1.0,0.0145797598627787,ok,
2025-01-01,osm,UK,0.5.0,"Darlington, United Kingdom",four_way_proportion_road,0.1.0,0.0369012707722385,ok,
2025-01-01,osm,UK,0.5.0,"Darlington, United Kingdom",four_way_proportion_bike,0.1.0,0.6878216123499142,ok,
2025-01-01,osm,UK,0.5.0,"Darlington, United Kingdom",self_loop_proportion_road,0.1.0,0.0021454623471358,ok,
2025-01-01,osm,UK,0.5.0,"Darlington, United Kingdom",self_loop_proportion_bike,0.1.0,0.0008594757198109,ok,
2025-01-01,osm,UK,0.5.0,"Darlington, United Kingdom",circuity_avg_road,0.1.0,1.078904361577076,ok,
2025-01-01,osm,UK,0.5.0,"Darlington, United Kingdom",circuity_avg_bike,0.1.0,1.0557289899166686,ok,
2025-01-01,osm,UK,0.5.0,"Darlington, United Kingdom",linearity_mean_road,0.1.0,0.962508293179344,ok,
2025-01-01,osm,UK,0.5.0,"Darlington, United Kingdom",linearity_mean_bike,0.1.0,0.962444733923107,ok,
2025-01-01,osm,UK,0.5.0,"Darlington, United Kingdom",linearity_median_road,0.1.0,0.999833805789528,ok,
2025-01-01,osm,UK,0.5.0,"Darlington, United Kingdom",linearity_median_bike,0.1.0,0.9968008009243974,ok,
2025-01-01,osm,UK,0.5.0,"Darlington, United Kingdom",orientation_entropy_road,0.1.0,3.517167718937104,ok,
2025-01-01,osm,UK,0.5.0,"Darlington, United Kingdom",orientation_entropy_bike,0.1.0,3.491641165283443,ok,
2025-01-01,osm,UK,0.5.0,"Darlington, United Kingdom",orientation_order_road,0.1.0,0.0594835791568559,ok,
2025-01-01,osm,UK,0.5.0,"Darlington, United Kingdom",orientation_order_bike,0.1.0,0.0818822274768145,ok,
2025-01-01,osm,UK,0.5.0,"Darlington, United Kingdom",connectivity_ratio_road,0.1.0,0.3798696006519967,ok,
2025-01-01,osm,UK,0.5.0,"Darlington, United Kingdom",connectivity_ratio_bike,0.1.0,0.6663802978235968,ok,
2025-01-01,osm,UK,0.5.0,"Darlington, United Kingdom",meshedness_road,0.1.0,0.0696906712312018,ok,
2025-01-01,osm,UK,0.5.0,"Darlington, United Kingdom",meshedness_bike,0.1.0,0.5371723248818221,ok,
2025-01-01,osm,UK,0.5.0,"Darlington, United Kingdom",n_components_road,0.1.0,1.0,ok,
2025-01-01,osm,UK,0.5.0,"Darlington, United Kingdom",n_components_bike,0.1.0,89.0,ok,
2025-01-01,osm,UK,0.5.0,"Darlington, United Kingdom",components_per_km_road,0.1.0,0.0018622105161383,ok,
2025-01-01,osm,UK,0.5.0,"Darlington, United Kingdom",components_per_km_bike,0.1.0,0.410067250515564,ok,
2025-01-01,osm,UK,0.5.0,"Darlington, United Kingdom",lcc_length_share_road,0.1.0,0.9999999999999982,ok,
