snapshot_date,source,country,metric_version,place_id,metric,version,value,status,detail
2025-01-01,osm,US,0.5.0,"El Paso, United States",betweenness_mean_road,0.1.0,0.006511420968062061,ok,
2025-01-01,osm,US,0.5.0,"El Paso, United States",betweenness_mean_bike,0.1.0,0.0009888170366772128,ok,
2025-01-01,osm,US,0.5.0,"El Paso, United States",betweenness_median_road,0.1.0,0.00041623429032630003,ok,
2025-01-01,osm,US,0.5.0,"El Paso, United States",betweenness_median_bike,0.1.0,1.1580381471389646e-05,ok,
2025-01-01,osm,US,0.5.0,"El Paso, United States",closeness_mean_road,0.1.0,5.050257202884013e-05,ok,
2025-01-01,osm,US,0.5.0,"El Paso, United States",closeness_mean_bike,0.1.0,2.800932292054036e-05,ok,
2025-01-01,osm,US,0.5.0,"El Paso, United States",closeness_median_road,0.1.0,4.988666876647054e-05,ok,
2025-01-01,osm,US,0.5.0,"El Paso, United States",closeness_median_bike,0.1.0,2.2293609209608343e-05,ok,
2025-01-01,osm,US,0.5.0,"El Paso, United States",clustering_mean_road,0.1.0,0.031014141879947735,ok,
2025-01-01,osm,US,0.5.0,"El Paso, United States",clustering_mean_bike,0.1.0,0.018436578171091445,ok,
2025-01-01,osm,US,0.5.0,"El Paso, United States",n_nodes_road,0.1.0,17348.0,ok,
2025-01-01,osm,US,0.5.0,"El Paso, United States",n_nodes_bike,0.1.0,2938.0,ok,
2025-01-01,osm,US,0.5.0,"El Paso, United States",n_edges_road,0.1.0,24888.0,ok,
2025-01-01,osm,US,0.5.0,"El Paso, United States",n_edges_bike,0.1.0,5909.0,ok,
2025-01-01,osm,US,0.5.0,"El Paso, United States",length_km_road,0.1.0,3895.8340933405098,ok,
2025-01-01,osm,US,0.5.0,"El Paso, United States",length_km_bike,0.1.0,764.8516639731929,ok,
2025-01-01,osm,US,0.5.0,"El Paso, United States",edge_length_avg_m_road,0.1.0,156.5346389159639,ok,
2025-01-01,osm,US,0.5.0,"El Paso, United States",edge_length_avg_m_bike,0.1.0,129.4384268020296,ok,
2025-01-01,osm,US,0.5.0,"El Paso, United States",k_avg_road,0.1.0,2.8692644685266315,ok,
2025-01-01,osm,US,0.5.0,"El Paso, United States",k_avg_bike,0.1.0,4.022464261402314,ok,
2025-01-01,osm,US,0.5.0,"El Paso, United States",intersection_count_road,0.1.0,14274.0,ok,
2025-01-01,osm,US,0.5.0,"El Paso, United States",intersection_count_bike,0.1.0,2324.0,ok,
2025-01-01,osm,US,0.5.0,"El Paso, United States",intersection_density_per_km_road,0.1.0,3.6639137237388515,ok,
