snapshot_date,source,country,metric_version,place_id,metric,version,value,status,detail
2025-01-01,osm,US,0.5.0,"Fort Wayne, United States",betweenness_mean_road,0.1.0,0.007424803075738427,ok,
2025-01-01,osm,US,0.5.0,"Fort Wayne, United States",betweenness_mean_bike,0.1.0,0.0020049580403637313,ok,
2025-01-01,osm,US,0.5.0,"Fort Wayne, United States",betweenness_median_road,0.1.0,0.0007805450078177351,ok,
2025-01-01,osm,US,0.5.0,"Fort Wayne, United States",betweenness_median_bike,0.1.0,5.4518518518518516e-05,ok,
2025-01-01,osm,US,0.5.0,"Fort Wayne, United States",closeness_mean_road,0.1.0,9.079320537030392e-05,ok,
2025-01-01,osm,US,0.5.0,"Fort Wayne, United States",closeness_mean_bike,0.1.0,4.8327399770765814e-05,ok,
2025-01-01,osm,US,0.5.0,"Fort Wayne, United States",closeness_median_road,0.1.0,8.840611406105991e-05,ok,
2025-01-01,osm,US,0.5.0,"Fort Wayne, United States",closeness_median_bike,0.1.0,4.857378184693145e-05,ok,
2025-01-01,osm,US,0.5.0,"Fort Wayne, United States",clustering_mean_road,0.1.0,0.024784129819860057,ok,
2025-01-01,osm,US,0.5.0,"Fort Wayne, United States",clustering_mean_bike,0.1.0,0.01845819761129207,ok,
2025-01-01,osm,US,0.5.0,"Fort Wayne, United States",n_nodes_road,0.1.0,8956.0,ok,
2025-01-01,osm,US,0.5.0,"Fort Wayne, United States",n_nodes_bike,0.1.0,3377.0,ok,
2025-01-01,osm,US,0.5.0,"Fort Wayne, United States",n_edges_road,0.1.0,12063.0,ok,
2025-01-01,osm,US,0.5.0,"Fort Wayne, United States",n_edges_bike,0.1.0,6925.0,ok,
2025-01-01,osm,US,0.5.0,"Fort Wayne, United States",length_km_road,0.1.0,2047.1008233426337,ok,
2025-01-01,osm,US,0.5.0,"Fort Wayne, United States",length_km_bike,0.1.0,572.6185180140703,ok,
2025-01-01,osm,US,0.5.0,"Fort Wayne, United States",edge_length_avg_m_road,0.1.0,169.70080604680706,ok,
2025-01-01,osm,US,0.5.0,"Fort Wayne, United States",edge_length_avg_m_bike,0.1.0,82.68859465907153,ok,
2025-01-01,osm,US,0.5.0,"Fort Wayne, United States",k_avg_road,0.1.0,2.6938365341670387,ok,
2025-01-01,osm,US,0.5.0,"Fort Wayne, United States",k_avg_bike,0.1.0,4.101273319514362,ok,
2025-01-01,osm,US,0.5.0,"Fort Wayne, United States",intersection_count_road,0.1.0,6683.0,ok,
2025-01-01,osm,US,0.5.0,"Fort Wayne, United States",intersection_count_bike,0.1.0,2636.0,ok,
2025-01-01,osm,US,0.5.0,"Fort Wayne, United States",intersection_density_per_km_road,0.1.0,3.264616927410337,ok,
2025-01-01,osm,US,0.5.0,"Fort Wayne, United States",intersection_density_per_km_bike,0.1.0,4.603413821023561,ok,
2025-01-01,osm,US,0.5.0,"Fort Wayne, United States",dead_end_proportion_road,0.1.0,0.25379633765073695,ok,
2025-01-01,osm,US,0.5.0,"Fort Wayne, United States",dead_end_proportion_bike,0.1.0,0.00207284572105419,ok,
2025-01-01,osm,US,0.5.0,"Fort Wayne, United States",three_way_proportion_road,0.1.0,0.5457793657882983,ok,
2025-01-01,osm,US,0.5.0,"Fort Wayne, United States",three_way_proportion_bike,0.1.0,0.0008883624518803672,ok,
2025-01-01,osm,US,0.5.0,"Fort Wayne, United States",four_way_proportion_road,0.1.0,0.20042429656096472,ok,
2025-01-01,osm,US,0.5.0,"Fort Wayne, United States",four_way_proportion_bike,0.1.0,0.779686111933669,ok,
2025-01-01,osm,US,0.5.0,"Fort Wayne, United States",self_loop_proportion_road,0.1.0,0.0026527397828069303,ok,
2025-01-01,osm,US,0.5.0,"Fort Wayne, United States",self_loop_proportion_bike,0.1.0,0.0,ok,
2025-01-01,osm,US,0.5.0,"Fort Wayne, United States",circuity_avg_road,0.1.0,1.0728308874486736,ok,
2025-01-01,osm,US,0.5.0,"Fort Wayne, United States",circuity_avg_bike,0.1.0,1.088768328506228,ok,
2025-01-01,osm,US,0.5.0,"Fort Wayne, United States",linearity_mean_road,0.1.0,0.9685316620362939,ok,
2025-01-01,osm,US,0.5.0,"Fort Wayne, United States",linearity_mean_bike,0.1.0,0.966161029178084,ok,
2025-01-01,osm,US,0.5.0,"Fort Wayne, United States",linearity_median_road,0.1.0,0.9999766997108007,ok,
2025-01-01,osm,US,0.5.0,"Fort Wayne, United States",linearity_median_bike,0.1.0,0.9993912626688624,ok,
2025-01-01,osm,US,0.5.0,"Fort Wayne, United States",orientation_entropy_road,0.1.0,3.0117556217734194,ok,
2025-01-01,osm,US,0.5.0,"Fort Wayne, United States",orientation_entropy_bike,0.1.0,3.214893698709653,ok,
2025-01-01,osm,US,0.5.0,"Fort Wayne, United States",orientation_order_road,0.1.0,0.4527265866929159,ok,
2025-01-01,osm,US,0.5.0,"Fort Wayne, United States",orientation_order_bike,0.1.0,0.3073908578572968,ok,
2025-01-01,osm,US,0.5.0,"Fort Wayne, United States",connectivity_ratio_road,0.1.0,0.4490730399821309,ok,
2025-01-01,osm,US,0.5.0,"Fort Wayne, United States",connectivity_ratio_bike,0.1.0,0.6839506172839506,ok,
2025-01-01,osm,US,0.5.0,"Fort Wayne, United States",meshedness_road,0.1.0,0.17361925503992853,ok,
2025-01-01,osm,US,0.5.0,"Fort Wayne, United States",meshedness_bike,0.1.0,0.5506000889020596,ok,
2025-01-01,osm,US,0.5.0,"Fort Wayne, United States",n_components_road,0.1.0,2.0,ok,
2025-01-01,osm,US,0.5.0,"Fort Wayne, United States",n_components_bike,0.1.0,168.0,ok,
2025-01-01,osm,US,0.5.0,"Fort Wayne, United States",components_per_km_road,0.1.0,0.000976991449172628,ok,
