snapshot_date,source,country,metric_version,place_id,metric,version,value,status,detail
2025-01-01,osm,US,0.5.0,"Hartford, United States",betweenness_mean_road,0.1.0,0.021241615911622408,ok,
2025-01-01,osm,US,0.5.0,"Hartford, United States",betweenness_mean_bike,0.1.0,0.0065411758543483115,ok,
2025-01-01,osm,US,0.5.0,"Hartford, United States",betweenness_median_road,0.1.0,0.011246811702925732,ok,
2025-01-01,osm,US,0.5.0,"Hartford, United States",betweenness_median_bike,0.1.0,0.0005619808263069468,ok,
2025-01-01,osm,US,0.5.0,"Hartford, United States",closeness_mean_road,0.1.0,0.00025071564166568395,ok,
2025-01-01,osm,US,0.5.0,"Hartford, United States",closeness_mean_bike,0.1.0,0.0002717379115285945,ok,
2025-01-01,osm,US,0.5.0,"Hartford, United States",closeness_median_road,0.1.0,0.0002483561340703733,ok,
2025-01-01,osm,US,0.5.0,"Hartford, United States",closeness_median_bike,0.1.0,0.00028776745359562924,ok,
2025-01-01,osm,US,0.5.0,"Hartford, United States",clustering_mean_road,0.1.0,0.02359550561797753,ok,
2025-01-01,osm,US,0.5.0,"Hartford, United States",clustering_mean_bike,0.1.0,0.010009718172983477,ok,
2025-01-01,osm,US,0.5.0,"Hartford, United States",n_nodes_road,0.1.0,1335.0,ok,
2025-01-01,osm,US,0.5.0,"Hartford, United States",n_nodes_bike,0.1.0,1029.0,ok,
2025-01-01,osm,US,0.5.0,"Hartford, United States",n_edges_road,0.1.0,2089.0,ok,
2025-01-01,osm,US,0.5.0,"Hartford, United States",n_edges_bike,0.1.0,2197.0,ok,
2025-01-01,osm,US,0.5.0,"Hartford, United States",length_km_road,0.1.0,369.6693209916074,ok,
2025-01-01,osm,US,0.5.0,"Hartford, United States",length_km_bike,0.1.0,104.7353000567936,ok,
2025-01-01,osm,US,0.5.0,"Hartford, United States",edge_length_avg_m_road,0.1.0,176.95994303092743,ok,
2025-01-01,osm,US,0.5.0,"Hartford, United States",edge_length_avg_m_bike,0.1.0,47.671961791895136,ok,
2025-01-01,osm,US,0.5.0,"Hartford, United States",k_avg_road,0.1.0,3.1295880149812736,ok,
2025-01-01,osm,US,0.5.0,"Hartford, United States",k_avg_bike,0.1.0,4.270165208940719,ok,
2025-01-01,osm,US,0.5.0,"Hartford, United States",intersection_count_road,0.1.0,1235.0,ok,
2025-01-01,osm,US,0.5.0,"Hartford, United States",intersection_count_bike,0.1.0,895.0,ok,
2025-01-01,osm,US,0.5.0,"Hartford, United States",intersection_density_per_km_road,0.1.0,3.3408236222773766,ok,
2025-01-01,osm,US,0.5.0,"Hartford, United States",intersection_density_per_km_bike,0.1.0,8.545351944518025,ok,
2025-01-01,osm,US,0.5.0,"Hartford, United States",dead_end_proportion_road,0.1.0,0.0749063670411985,ok,
2025-01-01,osm,US,0.5.0,"Hartford, United States",dead_end_proportion_bike,0.1.0,0.0009718172983479105,ok,
2025-01-01,osm,US,0.5.0,"Hartford, United States",three_way_proportion_road,0.1.0,0.650187265917603,ok,
2025-01-01,osm,US,0.5.0,"Hartford, United States",three_way_proportion_bike,0.1.0,0.0,ok,
2025-01-01,osm,US,0.5.0,"Hartford, United States",four_way_proportion_road,0.1.0,0.27490636704119853,ok,
2025-01-01,osm,US,0.5.0,"Hartford, United States",four_way_proportion_bike,0.1.0,0.86977648202138,ok,
2025-01-01,osm,US,0.5.0,"Hartford, United States",self_loop_proportion_road,0.1.0,0.0,ok,
2025-01-01,osm,US,0.5.0,"Hartford, United States",self_loop_proportion_bike,0.1.0,0.0009103322712790169,ok,
2025-01-01,osm,US,0.5.0,"Hartford, United States",circuity_avg_road,0.1.0,1.0307835469747333,ok,
2025-01-01,osm,US,0.5.0,"Hartford, United States",circuity_avg_bike,0.1.0,1.039560252624975,ok,
