snapshot_date,source,country,metric_version,place_id,metric,version,value,status,detail
2025-01-01,osm,FR,0.5.0,"Hayange, France",betweenness_mean_road,0.1.0,0.0605642594850529,ok,
2025-01-01,osm,FR,0.5.0,"Hayange, France",betweenness_mean_bike,0.1.0,,ok,
2025-01-01,osm,FR,0.5.0,"Hayange, France",betweenness_median_road,0.1.0,0.008918584212208373,ok,
2025-01-01,osm,FR,0.5.0,"Hayange, France",betweenness_median_bike,0.1.0,,ok,
2025-01-01,osm,FR,0.5.0,"Hayange, France",closeness_mean_road,0.1.0,0.0002855047955832158,ok,
2025-01-01,osm,FR,0.5.0,"Hayange, France",closeness_mean_bike,0.1.0,0.009048013948677432,ok,
2025-01-01,osm,FR,0.5.0,"Hayange, France",closeness_median_road,0.1.0,0.00027712337504141643,ok,
2025-01-01,osm,FR,0.5.0,"Hayange, France",closeness_median_bike,0.1.0,0.009048013948677432,ok,
2025-01-01,osm,FR,0.5.0,"Hayange, France",clustering_mean_road,0.1.0,0.0467706013363029,ok,
2025-01-01,osm,FR,0.5.0,"Hayange, France",clustering_mean_bike,0.1.0,,ok,
2025-01-01,osm,FR,0.5.0,"Hayange, France",n_nodes_road,0.1.0,449.0,ok,
2025-01-01,osm,FR,0.5.0,"Hayange, France",n_nodes_bike,0.1.0,2.0,ok,
2025-01-01,osm,FR,0.5.0,"Hayange, France",n_edges_road,0.1.0,553.0,ok,
2025-01-01,osm,FR,0.5.0,"Hayange, France",n_edges_bike,0.1.0,2.0,ok,
2025-01-01,osm,FR,0.5.0,"Hayange, France",length_km_road,0.1.0,68.60508192927072,ok,
2025-01-01,osm,FR,0.5.0,"Hayange, France",length_km_bike,0.1.0,0.2210429837248808,ok,
2025-01-01,osm,FR,0.5.0,"Hayange, France",edge_length_avg_m_road,0.1.0,124.05982265690909,ok,
2025-01-01,osm,FR,0.5.0,"Hayange, France",edge_length_avg_m_bike,0.1.0,110.5214918624404,ok,
2025-01-01,osm,FR,0.5.0,"Hayange, France",k_avg_road,0.1.0,2.4632516703786194,ok,
2025-01-01,osm,FR,0.5.0,"Hayange, France",k_avg_bike,0.1.0,2.0,ok,
2025-01-01,osm,FR,0.5.0,"Hayange, France",intersection_count_road,0.1.0,315.0,ok,
2025-01-01,osm,FR,0.5.0,"Hayange, France",intersection_count_bike,0.1.0,0.0,ok,
2025-01-01,osm,FR,0.5.0,"Hayange, France",intersection_density_per_km_road,0.1.0,4.591496593863895,ok,
2025-01-01,osm,FR,0.5.0,"Hayange, France",intersection_density_per_km_bike,0.1.0,0.0,ok,
2025-01-01,osm,FR,0.5.0,"Hayange, France",dead_end_proportion_road,0.1.0,0.2984409799554566,ok,
