snapshot_date,source,country,metric_version,place_id,metric,version,value,status,detail
2025-01-01,osm,BG,0.5.0,"Kardjali, Bulgaria",betweenness_mean_road,0.1.0,0.023684889710526187,ok,
2025-01-01,osm,BG,0.5.0,"Kardjali, Bulgaria",betweenness_mean_bike,0.1.0,0.33333333333333337,ok,
2025-01-01,osm,BG,0.5.0,"Kardjali, Bulgaria",betweenness_median_road,0.1.0,0.006738331770429219,ok,
2025-01-01,osm,BG,0.5.0,"Kardjali, Bulgaria",betweenness_median_bike,0.1.0,0.4090909090909091,ok,
2025-01-01,osm,BG,0.5.0,"Kardjali, Bulgaria",closeness_mean_road,0.1.0,0.0003843790526095537,ok,
2025-01-01,osm,BG,0.5.0,"Kardjali, Bulgaria",closeness_mean_bike,0.1.0,0.0042194391497280105,ok,
2025-01-01,osm,BG,0.5.0,"Kardjali, Bulgaria",closeness_median_road,0.1.0,0.0003835418184718904,ok,
2025-01-01,osm,BG,0.5.0,"Kardjali, Bulgaria",closeness_median_bike,0.1.0,0.004239442050430364,ok,
2025-01-01,osm,BG,0.5.0,"Kardjali, Bulgaria",clustering_mean_road,0.1.0,0.022709320695102682,ok,
2025-01-01,osm,BG,0.5.0,"Kardjali, Bulgaria",clustering_mean_bike,0.1.0,0.0,ok,
2025-01-01,osm,BG,0.5.0,"Kardjali, Bulgaria",n_nodes_road,0.1.0,844.0,ok,
2025-01-01,osm,BG,0.5.0,"Kardjali, Bulgaria",n_nodes_bike,0.1.0,13.0,ok,
2025-01-01,osm,BG,0.5.0,"Kardjali, Bulgaria",n_edges_road,0.1.0,1096.0,ok,
2025-01-01,osm,BG,0.5.0,"Kardjali, Bulgaria",n_edges_bike,0.1.0,24.0,ok,
2025-01-01,osm,BG,0.5.0,"Kardjali, Bulgaria",length_km_road,0.1.0,123.38346616764687,ok,
2025-01-01,osm,BG,0.5.0,"Kardjali, Bulgaria",length_km_bike,0.1.0,1.2085886147764549,ok,
2025-01-01,osm,BG,0.5.0,"Kardjali, Bulgaria",edge_length_avg_m_road,0.1.0,112.57615526245152,ok,
2025-01-01,osm,BG,0.5.0,"Kardjali, Bulgaria",edge_length_avg_m_bike,0.1.0,50.357858949018954,ok,
2025-01-01,osm,BG,0.5.0,"Kardjali, Bulgaria",k_avg_road,0.1.0,2.5971563981042656,ok,
2025-01-01,osm,BG,0.5.0,"Kardjali, Bulgaria",k_avg_bike,0.1.0,3.6923076923076925,ok,
2025-01-01,osm,BG,0.5.0,"Kardjali, Bulgaria",intersection_count_road,0.1.0,633.0,ok,
