snapshot_date,source,country,metric_version,place_id,metric,version,value,status,detail
2025-01-01,osm,US,0.2.0,"Knox, United States",betweenness_mean_road,0.1.0,0.0211358883265275,ok,
2025-01-01,osm,US,0.2.0,"Knox, United States",betweenness_mean_bike,0.1.0,,ok,
2025-01-01,osm,US,0.2.0,"Knox, United States",betweenness_median_road,0.1.0,0.0046816896293226,ok,
2025-01-01,osm,US,0.2.0,"Knox, United States",betweenness_median_bike,0.1.0,,ok,
2025-01-01,osm,US,0.2.0,"Knox, United States",closeness_mean_road,0.1.0,2.8568779791484085e-05,ok,
2025-01-01,osm,US,0.2.0,"Knox, United States",closeness_mean_bike,0.1.0,,ok,
2025-01-01,osm,US,0.2.0,"Knox, United States",closeness_median_road,0.1.0,2.828322749084189e-05,ok,
2025-01-01,osm,US,0.2.0,"Knox, United States",closeness_median_bike,0.1.0,,ok,
2025-01-01,osm,US,0.2.0,"Knox, United States",clustering_mean_road,0.1.0,0.0197682344921608,ok,
2025-01-01,osm,US,0.2.0,"Knox, United States",clustering_mean_bike,0.1.0,,ok,
2025-01-01,osm,US,0.2.0,"Knox, United States",n_nodes_road,0.1.0,1467.0,ok,
2025-01-01,osm,US,0.2.0,"Knox, United States",n_nodes_bike,0.1.0,0.0,ok,
2025-01-01,osm,US,0.2.0,"Knox, United States",n_edges_road,0.1.0,1770.0,ok,
2025-01-01,osm,US,0.2.0,"Knox, United States",n_edges_bike,0.1.0,0.0,ok,
2025-01-01,osm,US,0.2.0,"Knox, United States",length_km_road,0.1.0,1866.37338574132,ok,
2025-01-01,osm,US,0.2.0,"Knox, United States",length_km_bike,0.1.0,0.0,ok,
2025-01-01,osm,US,0.2.0,"Knox, United States",edge_length_avg_m_road,0.1.0,1054.448240531819,ok,
2025-01-01,osm,US,0.2.0,"Knox, United States",edge_length_avg_m_bike,0.1.0,,ok,
2025-01-01,osm,US,0.2.0,"Knox, United States",k_avg_road,0.1.0,2.4130879345603278,ok,
2025-01-01,osm,US,0.2.0,"Knox, United States",k_avg_bike,0.1.0,,ok,
2025-01-01,osm,US,0.2.0,"Knox, United States",intersection_count_road,0.1.0,993.0,ok,
2025-01-01,osm,US,0.2.0,"Knox, United States",intersection_count_bike,0.1.0,0.0,ok,
2025-01-01,osm,US,0.2.0,"Knox, United States",intersection_density_per_km_road,0.1.0,0.5320478783003983,ok,
2025-01-01,osm,US,0.2.0,"Knox, United States",intersection_density_per_km_bike,0.1.0,,ok,
2025-01-01,osm,US,0.2.0,"Knox, United States",dead_end_proportion_road,0.1.0,0.3231083844580777,ok,
2025-01-01,osm,US,0.2.0,"Knox, United States",dead_end_proportion_bike,0.1.0,,ok,
2025-01-01,osm,US,0.2.0,"Knox, United States",three_way_proportion_road,0.1.0,0.6182685753237901,ok,
2025-01-01,osm,US,0.2.0,"Knox, United States",three_way_proportion_bike,0.1.0,,ok,
2025-01-01,osm,US,0.2.0,"Knox, United States",four_way_proportion_road,0.1.0,0.0586230402181322,ok,
2025-01-01,osm,US,0.2.0,"Knox, United States",four_way_proportion_bike,0.1.0,,ok,
2025-01-01,osm,US,0.2.0,"Knox, United States",self_loop_proportion_road,0.1.0,0.0011299435028248,ok,
2025-01-01,osm,US,0.2.0,"Knox, United States",self_loop_proportion_bike,0.1.0,,ok,
2025-01-01,osm,US,0.2.0,"Knox, United States",circuity_avg_road,0.1.0,1.115693601340367,ok,
2025-01-01,osm,US,0.2.0,"Knox, United States",circuity_avg_bike,0.1.0,,error,"IndexError: too many indices for array: array is 1-dimensional, but 2 were indexed"
2025-01-01,osm,US,0.2.0,"Knox, United States",linearity_mean_road,0.1.0,0.9380637899414128,ok,
2025-01-01,osm,US,0.2.0,"Knox, United States",linearity_mean_bike,0.1.0,,ok,
