snapshot_date,source,country,metric_version,place_id,metric,version,value,status,detail
2025-01-01,osm,FR,0.5.0,"Le Mans, France",betweenness_mean_road,0.1.0,0.013319577929225562,ok,
2025-01-01,osm,FR,0.5.0,"Le Mans, France",betweenness_mean_bike,0.1.0,0.00021124789320294045,ok,
2025-01-01,osm,FR,0.5.0,"Le Mans, France",betweenness_median_road,0.1.0,0.0033958110782394335,ok,
2025-01-01,osm,FR,0.5.0,"Le Mans, France",betweenness_median_bike,0.1.0,1.2048186707639223e-05,ok,
2025-01-01,osm,FR,0.5.0,"Le Mans, France",closeness_mean_road,0.1.0,0.0002538307708723239,ok,
2025-01-01,osm,FR,0.5.0,"Le Mans, France",closeness_mean_bike,0.1.0,6.187143962436862e-05,ok,
2025-01-01,osm,FR,0.5.0,"Le Mans, France",closeness_median_road,0.1.0,0.0002517109562113966,ok,
2025-01-01,osm,FR,0.5.0,"Le Mans, France",closeness_median_bike,0.1.0,5.348031268311659e-05,ok,
2025-01-01,osm,FR,0.5.0,"Le Mans, France",clustering_mean_road,0.1.0,0.032578875171467764,ok,
2025-01-01,osm,FR,0.5.0,"Le Mans, France",clustering_mean_bike,0.1.0,0.012982456140350877,ok,
2025-01-01,osm,FR,0.5.0,"Le Mans, France",n_nodes_road,0.1.0,2916.0,ok,
2025-01-01,osm,FR,0.5.0,"Le Mans, France",n_nodes_bike,0.1.0,1995.0,ok,
2025-01-01,osm,FR,0.5.0,"Le Mans, France",n_edges_road,0.1.0,3958.0,ok,
2025-01-01,osm,FR,0.5.0,"Le Mans, France",n_edges_bike,0.1.0,3303.0,ok,
2025-01-01,osm,FR,0.5.0,"Le Mans, France",length_km_road,0.1.0,464.89626511639824,ok,
2025-01-01,osm,FR,0.5.0,"Le Mans, France",length_km_bike,0.1.0,169.5325193393926,ok,
2025-01-01,osm,FR,0.5.0,"Le Mans, France",edge_length_avg_m_road,0.1.0,117.45736864992375,ok,
2025-01-01,osm,FR,0.5.0,"Le Mans, France",edge_length_avg_m_bike,0.1.0,51.32682995440285,ok,
2025-01-01,osm,FR,0.5.0,"Le Mans, France",k_avg_road,0.1.0,2.7146776406035666,ok,
2025-01-01,osm,FR,0.5.0,"Le Mans, France",k_avg_bike,0.1.0,3.311278195488722,ok,
2025-01-01,osm,FR,0.5.0,"Le Mans, France",intersection_count_road,0.1.0,2314.0,ok,
2025-01-01,osm,FR,0.5.0,"Le Mans, France",intersection_count_bike,0.1.0,1045.0,ok,
2025-01-01,osm,FR,0.5.0,"Le Mans, France",intersection_density_per_km_road,0.1.0,4.9774544852939036,ok,
2025-01-01,osm,FR,0.5.0,"Le Mans, France",intersection_density_per_km_bike,0.1.0,6.164009147460264,ok,
2025-01-01,osm,FR,0.5.0,"Le Mans, France",dead_end_proportion_road,0.1.0,0.20644718792866942,ok,
2025-01-01,osm,FR,0.5.0,"Le Mans, France",dead_end_proportion_bike,0.1.0,0.05964912280701754,ok,
2025-01-01,osm,FR,0.5.0,"Le Mans, France",three_way_proportion_road,0.1.0,0.6694101508916324,ok,
2025-01-01,osm,FR,0.5.0,"Le Mans, France",three_way_proportion_bike,0.1.0,0.019548872180451128,ok,
2025-01-01,osm,FR,0.5.0,"Le Mans, France",four_way_proportion_road,0.1.0,0.12414266117969822,ok,
2025-01-01,osm,FR,0.5.0,"Le Mans, France",four_way_proportion_bike,0.1.0,0.5042606516290726,ok,
2025-01-01,osm,FR,0.5.0,"Le Mans, France",self_loop_proportion_road,0.1.0,0.0017685699848408287,ok,
2025-01-01,osm,FR,0.5.0,"Le Mans, France",self_loop_proportion_bike,0.1.0,0.0006055101422948834,ok,
2025-01-01,osm,FR,0.5.0,"Le Mans, France",circuity_avg_road,0.1.0,1.0734474856181764,ok,
2025-01-01,osm,FR,0.5.0,"Le Mans, France",circuity_avg_bike,0.1.0,1.0547407732214358,ok,
2025-01-01,osm,FR,0.5.0,"Le Mans, France",linearity_mean_road,0.1.0,0.9606953715145845,ok,
2025-01-01,osm,FR,0.5.0,"Le Mans, France",linearity_mean_bike,0.1.0,0.9697026062580962,ok,
2025-01-01,osm,FR,0.5.0,"Le Mans, France",linearity_median_road,0.1.0,0.9996641390503882,ok,
2025-01-01,osm,FR,0.5.0,"Le Mans, France",linearity_median_bike,0.1.0,0.9997158618358443,ok,
2025-01-01,osm,FR,0.5.0,"Le Mans, France",orientation_entropy_road,0.1.0,3.5675554531197906,ok,
2025-01-01,osm,FR,0.5.0,"Le Mans, France",orientation_entropy_bike,0.1.0,3.556838687490438,ok,
2025-01-01,osm,FR,0.5.0,"Le Mans, France",orientation_order_road,0.1.0,0.01447780603139015,ok,
2025-01-01,osm,FR,0.5.0,"Le Mans, France",orientation_order_bike,0.1.0,0.024137965708280418,ok,
2025-01-01,osm,FR,0.5.0,"Le Mans, France",gamma_index_road,0.1.0,0.4527568062228323,ok,
2025-01-01,osm,FR,0.5.0,"Le Mans, France",gamma_index_bike,0.1.0,0.5524335173105871,ok,
2025-01-01,osm,FR,0.5.0,"Le Mans, France",alpha_index_road,0.1.0,0.1789943367084263,ok,
2025-01-01,osm,FR,0.5.0,"Le Mans, France",alpha_index_bike,0.1.0,0.3794228356336261,ok,
2025-01-01,osm,FR,0.5.0,"Le Mans, France",n_components_road,0.1.0,1.0,ok,
2025-01-01,osm,FR,0.5.0,"Le Mans, France",n_components_bike,0.1.0,204.0,ok,
2025-01-01,osm,FR,0.5.0,"Le Mans, France",components_per_km_road,0.1.0,0.00215101749580549,ok,
2025-01-01,osm,FR,0.5.0,"Le Mans, France",components_per_km_bike,0.1.0,1.203308962757793,ok,
2025-01-01,osm,FR,0.5.0,"Le Mans, France",lcc_length_share_road,0.1.0,0.9999999999999999,ok,
2025-01-01,osm,FR,0.5.0,"Le Mans, France",lcc_length_share_bike,0.1.0,0.09405303137815713,ok,
2025-01-01,osm,FR,0.5.0,"Le Mans, France",lcc_length_km_road,0.1.0,464.8962651163982,ok,
2025-01-01,osm,FR,0.5.0,"Le Mans, France",lcc_length_km_bike,0.1.0,15.945047361045921,ok,
2025-01-01,osm,FR,0.5.0,"Le Mans, France",component_size_gini_road,0.1.0,,ok,
2025-01-01,osm,FR,0.5.0,"Le Mans, France",component_size_gini_bike,0.1.0,0.7286808623711512,ok,
2025-01-01,osm,FR,0.5.0,"Le Mans, France",street_density_km2,0.1.0,8.797802901657658,ok,
2025-01-01,osm,FR,0.5.0,"Le Mans, France",cycle_network_density_km2,0.1.0,3.2082720436482832,ok,
2025-01-01,osm,FR,0.5.0,"Le Mans, France",intersection_density_km2_road,0.1.0,43.790663513587624,ok,
2025-01-01,osm,FR,0.5.0,"Le Mans, France",intersection_density_km2_bike,0.1.0,19.775818224589052,ok,
2025-01-01,osm,FR,0.5.0,"Le Mans, France",low_stress_coverage,0.1.0,0.8836113174821115,ok,
2025-01-01,osm,FR,0.5.0,"Le Mans, France",lts1_coverage,0.1.0,0.4984663032154184,ok,
2025-01-01,osm,FR,0.5.0,"Le Mans, France",lts2_coverage,0.1.0,0.38514501426669306,ok,
2025-01-01,osm,FR,0.5.0,"Le Mans, France",bikeable_length_share,0.1.0,0.36466741520701607,ok,
2025-01-01,osm,FR,0.5.0,"Le Mans, France",entropy_gap_kl,0.1.0,0.021547994685775274,ok,
2025-01-01,osm,FR,0.5.0,"Le Mans, France",bike_lcc_share_of_road,0.1.0,0.03429807584505693,ok,
2025-01-01,osm,FR,0.5.0,"Le Mans, France",intersection_ratio_bike_road,0.1.0,0.4515989628349179,ok,
2025-01-01,osm,FR,0.5.0,"Le Mans, France",bike_offroad_share,0.1.0,0.9864889310152344,ok,
2025-01-01,osm,FR,0.5.0,"Le Mans, France",modal_directness_gap,0.1.0,1.1441383540879864,ok,
2025-01-01,osm,FR,0.5.0,"Le Mans, France",low_stress_route_fraction,0.1.0,0.5645497799150192,ok,
2025-01-01,osm,FR,0.5.0,"Le Mans, France",mean_route_lts,0.1.0,1.4859127030199737,ok,
