snapshot_date,source,country,metric_version,place_id,metric,version,value,status,detail
2025-01-01,osm,UK,0.5.0,"Liverpool, United Kingdom",betweenness_mean_road,0.1.0,0.0056901175583738,ok,
2025-01-01,osm,UK,0.5.0,"Liverpool, United Kingdom",betweenness_mean_bike,0.1.0,0.0001225136370872,ok,
2025-01-01,osm,UK,0.5.0,"Liverpool, United Kingdom",betweenness_median_road,0.1.0,0.0002469170776051,ok,
2025-01-01,osm,UK,0.5.0,"Liverpool, United Kingdom",betweenness_median_bike,0.1.0,3.0135595064653994e-06,ok,
2025-01-01,osm,UK,0.5.0,"Liverpool, United Kingdom",closeness_mean_road,0.1.0,0.0001521891772523,ok,
2025-01-01,osm,UK,0.5.0,"Liverpool, United Kingdom",closeness_mean_bike,0.1.0,4.211519632028747e-05,ok,
2025-01-01,osm,UK,0.5.0,"Liverpool, United Kingdom",closeness_median_road,0.1.0,0.0001521571910597,ok,
2025-01-01,osm,UK,0.5.0,"Liverpool, United Kingdom",closeness_median_bike,0.1.0,3.2497541460919555e-05,ok,
2025-01-01,osm,UK,0.5.0,"Liverpool, United Kingdom",clustering_mean_road,0.1.0,0.0115756158624436,ok,
2025-01-01,osm,UK,0.5.0,"Liverpool, United Kingdom",clustering_mean_bike,0.1.0,0.0106987629555332,ok,
2025-01-01,osm,UK,0.5.0,"Liverpool, United Kingdom",n_nodes_road,0.1.0,14113.0,ok,
2025-01-01,osm,UK,0.5.0,"Liverpool, United Kingdom",n_nodes_bike,0.1.0,1994.0,ok,
2025-01-01,osm,UK,0.5.0,"Liverpool, United Kingdom",n_edges_road,0.1.0,16988.0,ok,
2025-01-01,osm,UK,0.5.0,"Liverpool, United Kingdom",n_edges_bike,0.1.0,3347.0,ok,
2025-01-01,osm,UK,0.5.0,"Liverpool, United Kingdom",length_km_road,0.1.0,1387.689566194048,ok,
2025-01-01,osm,UK,0.5.0,"Liverpool, United Kingdom",length_km_bike,0.1.0,209.2632536689083,ok,
2025-01-01,osm,UK,0.5.0,"Liverpool, United Kingdom",edge_length_avg_m_road,0.1.0,81.6864590413261,ok,
2025-01-01,osm,UK,0.5.0,"Liverpool, United Kingdom",edge_length_avg_m_bike,0.1.0,62.52263330412557,ok,
2025-01-01,osm,UK,0.5.0,"Liverpool, United Kingdom",k_avg_road,0.1.0,2.4074257776518104,ok,
2025-01-01,osm,UK,0.5.0,"Liverpool, United Kingdom",k_avg_bike,0.1.0,3.357071213640922,ok,
2025-01-01,osm,UK,0.5.0,"Liverpool, United Kingdom",intersection_count_road,0.1.0,9469.0,ok,
2025-01-01,osm,UK,0.5.0,"Liverpool, United Kingdom",intersection_count_bike,0.1.0,1120.0,ok,
2025-01-01,osm,UK,0.5.0,"Liverpool, United Kingdom",intersection_density_per_km_road,0.1.0,6.823572238833061,ok,
