snapshot_date,source,country,metric_version,place_id,metric,version,value,status,detail
2025-01-01,osm,SE,0.5.0,"Malmö, Sweden",betweenness_mean_road,0.1.0,0.009615572842901184,ok,
2025-01-01,osm,SE,0.5.0,"Malmö, Sweden",betweenness_mean_bike,0.1.0,0.010926107834304675,ok,
2025-01-01,osm,SE,0.5.0,"Malmö, Sweden",betweenness_median_road,0.1.0,0.001741814589774961,ok,
2025-01-01,osm,SE,0.5.0,"Malmö, Sweden",betweenness_median_bike,0.1.0,0.0014403969939603203,ok,
2025-01-01,osm,SE,0.5.0,"Malmö, Sweden",closeness_mean_road,0.1.0,0.0001776252694465035,ok,
2025-01-01,osm,SE,0.5.0,"Malmö, Sweden",closeness_mean_bike,0.1.0,0.00014077235569690232,ok,
2025-01-01,osm,SE,0.5.0,"Malmö, Sweden",closeness_median_road,0.1.0,0.00017880295979724137,ok,
2025-01-01,osm,SE,0.5.0,"Malmö, Sweden",closeness_median_bike,0.1.0,0.0001496468184082739,ok,
2025-01-01,osm,SE,0.5.0,"Malmö, Sweden",clustering_mean_road,0.1.0,0.024468333722832435,ok,
2025-01-01,osm,SE,0.5.0,"Malmö, Sweden",clustering_mean_bike,0.1.0,0.00780578157041741,ok,
2025-01-01,osm,SE,0.5.0,"Malmö, Sweden",n_nodes_road,0.1.0,4279.0,ok,
2025-01-01,osm,SE,0.5.0,"Malmö, Sweden",n_nodes_bike,0.1.0,10078.0,ok,
2025-01-01,osm,SE,0.5.0,"Malmö, Sweden",n_edges_road,0.1.0,5675.0,ok,
2025-01-01,osm,SE,0.5.0,"Malmö, Sweden",n_edges_bike,0.1.0,20986.0,ok,
2025-01-01,osm,SE,0.5.0,"Malmö, Sweden",length_km_road,0.1.0,742.2941138610167,ok,
2025-01-01,osm,SE,0.5.0,"Malmö, Sweden",length_km_bike,0.1.0,1033.2735098198036,ok,
2025-01-01,osm,SE,0.5.0,"Malmö, Sweden",edge_length_avg_m_road,0.1.0,130.80072490943024,ok,
2025-01-01,osm,SE,0.5.0,"Malmö, Sweden",edge_length_avg_m_bike,0.1.0,49.23632468406574,ok,
2025-01-01,osm,SE,0.5.0,"Malmö, Sweden",k_avg_road,0.1.0,2.6524888992755318,ok,
2025-01-01,osm,SE,0.5.0,"Malmö, Sweden",k_avg_bike,0.1.0,4.164715221274062,ok,
2025-01-01,osm,SE,0.5.0,"Malmö, Sweden",intersection_count_road,0.1.0,3185.0,ok,
2025-01-01,osm,SE,0.5.0,"Malmö, Sweden",intersection_count_bike,0.1.0,8220.0,ok,
2025-01-01,osm,SE,0.5.0,"Malmö, Sweden",intersection_density_per_km_road,0.1.0,4.290752062458551,ok,
2025-01-01,osm,SE,0.5.0,"Malmö, Sweden",intersection_density_per_km_bike,0.1.0,7.9552992715680055,ok,
2025-01-01,osm,SE,0.5.0,"Malmö, Sweden",dead_end_proportion_road,0.1.0,0.25519981304043,ok,
2025-01-01,osm,SE,0.5.0,"Malmö, Sweden",dead_end_proportion_bike,0.1.0,0.008731891248263544,ok,
2025-01-01,osm,SE,0.5.0,"Malmö, Sweden",three_way_proportion_road,0.1.0,0.5819116616031783,ok,
2025-01-01,osm,SE,0.5.0,"Malmö, Sweden",three_way_proportion_bike,0.1.0,0.004762849771780115,ok,
2025-01-01,osm,SE,0.5.0,"Malmö, Sweden",four_way_proportion_road,0.1.0,0.1624211264314092,ok,
2025-01-01,osm,SE,0.5.0,"Malmö, Sweden",four_way_proportion_bike,0.1.0,0.8108751736455646,ok,
2025-01-01,osm,SE,0.5.0,"Malmö, Sweden",self_loop_proportion_road,0.1.0,0.0038766519823788545,ok,
2025-01-01,osm,SE,0.5.0,"Malmö, Sweden",self_loop_proportion_bike,0.1.0,9.530162965786715e-05,ok,
2025-01-01,osm,SE,0.5.0,"Malmö, Sweden",circuity_avg_road,0.1.0,1.072170062778628,ok,
