snapshot_date,source,country,metric_version,place_id,metric,version,value,status,detail
2025-01-01,osm,UK,0.5.0,"Milton Keynes, United Kingdom",betweenness_mean_road,0.1.0,0.0034092604470573,ok,
2025-01-01,osm,UK,0.5.0,"Milton Keynes, United Kingdom",betweenness_mean_bike,0.1.0,0.0105361003425857,ok,
2025-01-01,osm,UK,0.5.0,"Milton Keynes, United Kingdom",betweenness_median_road,0.1.0,0.0001532908360694,ok,
2025-01-01,osm,UK,0.5.0,"Milton Keynes, United Kingdom",betweenness_median_bike,0.1.0,0.0035020575042881,ok,
2025-01-01,osm,UK,0.5.0,"Milton Keynes, United Kingdom",closeness_mean_road,0.1.0,0.0001444833442597,ok,
2025-01-01,osm,UK,0.5.0,"Milton Keynes, United Kingdom",closeness_mean_bike,0.1.0,0.0001396864045853,ok,
2025-01-01,osm,UK,0.5.0,"Milton Keynes, United Kingdom",closeness_median_road,0.1.0,0.0001459260602892,ok,
2025-01-01,osm,UK,0.5.0,"Milton Keynes, United Kingdom",closeness_median_bike,0.1.0,0.0001445984729372,ok,
2025-01-01,osm,UK,0.5.0,"Milton Keynes, United Kingdom",clustering_mean_road,0.1.0,0.0068591318591318,ok,
2025-01-01,osm,UK,0.5.0,"Milton Keynes, United Kingdom",clustering_mean_bike,0.1.0,0.0184243330840189,ok,
2025-01-01,osm,UK,0.5.0,"Milton Keynes, United Kingdom",n_nodes_road,0.1.0,13024.0,ok,
2025-01-01,osm,UK,0.5.0,"Milton Keynes, United Kingdom",n_nodes_bike,0.1.0,8022.0,ok,
2025-01-01,osm,UK,0.5.0,"Milton Keynes, United Kingdom",n_edges_road,0.1.0,14377.0,ok,
2025-01-01,osm,UK,0.5.0,"Milton Keynes, United Kingdom",n_edges_bike,0.1.0,17632.0,ok,
2025-01-01,osm,UK,0.5.0,"Milton Keynes, United Kingdom",length_km_road,0.1.0,1096.160451782754,ok,
2025-01-01,osm,UK,0.5.0,"Milton Keynes, United Kingdom",length_km_bike,0.1.0,1164.5428917759134,ok,
2025-01-01,osm,UK,0.5.0,"Milton Keynes, United Kingdom",edge_length_avg_m_road,0.1.0,76.24403225865994,ok,
2025-01-01,osm,UK,0.5.0,"Milton Keynes, United Kingdom",edge_length_avg_m_bike,0.1.0,66.0471240798499,ok,
2025-01-01,osm,UK,0.5.0,"Milton Keynes, United Kingdom",k_avg_road,0.1.0,2.20777027027027,ok,
2025-01-01,osm,UK,0.5.0,"Milton Keynes, United Kingdom",k_avg_bike,0.1.0,4.395911244078784,ok,
2025-01-01,osm,UK,0.5.0,"Milton Keynes, United Kingdom",intersection_count_road,0.1.0,7618.0,ok,
2025-01-01,osm,UK,0.5.0,"Milton Keynes, United Kingdom",intersection_count_bike,0.1.0,7131.0,ok,
2025-01-01,osm,UK,0.5.0,"Milton Keynes, United Kingdom",intersection_density_per_km_road,0.1.0,6.949712505692368,ok,
2025-01-01,osm,UK,0.5.0,"Milton Keynes, United Kingdom",intersection_density_per_km_bike,0.1.0,6.123432679345381,ok,
2025-01-01,osm,UK,0.5.0,"Milton Keynes, United Kingdom",dead_end_proportion_road,0.1.0,0.4150798525798526,ok,
2025-01-01,osm,UK,0.5.0,"Milton Keynes, United Kingdom",dead_end_proportion_bike,0.1.0,0.0007479431563201,ok,
2025-01-01,osm,UK,0.5.0,"Milton Keynes, United Kingdom",three_way_proportion_road,0.1.0,0.5475276412776413,ok,
2025-01-01,osm,UK,0.5.0,"Milton Keynes, United Kingdom",three_way_proportion_bike,0.1.0,0.00024931438544,ok,
2025-01-01,osm,UK,0.5.0,"Milton Keynes, United Kingdom",four_way_proportion_road,0.1.0,0.0373925061425061,ok,
2025-01-01,osm,UK,0.5.0,"Milton Keynes, United Kingdom",four_way_proportion_bike,0.1.0,0.8886811269010222,ok,
2025-01-01,osm,UK,0.5.0,"Milton Keynes, United Kingdom",self_loop_proportion_road,0.1.0,0.0008346664811852,ok,
2025-01-01,osm,UK,0.5.0,"Milton Keynes, United Kingdom",self_loop_proportion_bike,0.1.0,0.0005671506352087,ok,
