snapshot_date,source,country,metric_version,place_id,metric,version,value,status,detail
2025-01-01,osm,FR,0.5.0,"Nîmes, France",betweenness_mean_road,0.1.0,0.010833279713647443,ok,
2025-01-01,osm,FR,0.5.0,"Nîmes, France",betweenness_mean_bike,0.1.0,0.002191248326391874,ok,
2025-01-01,osm,FR,0.5.0,"Nîmes, France",betweenness_median_road,0.1.0,0.00246833620848673,ok,
2025-01-01,osm,FR,0.5.0,"Nîmes, France",betweenness_median_bike,0.1.0,0.00012352463106513116,ok,
2025-01-01,osm,FR,0.5.0,"Nîmes, France",closeness_mean_road,0.1.0,0.0002395297595441412,ok,
2025-01-01,osm,FR,0.5.0,"Nîmes, France",closeness_mean_bike,0.1.0,0.00012972578769698186,ok,
2025-01-01,osm,FR,0.5.0,"Nîmes, France",closeness_median_road,0.1.0,0.00023495165012624993,ok,
2025-01-01,osm,FR,0.5.0,"Nîmes, France",closeness_median_bike,0.1.0,0.00012603761741623724,ok,
2025-01-01,osm,FR,0.5.0,"Nîmes, France",clustering_mean_road,0.1.0,0.023427222128520827,ok,
2025-01-01,osm,FR,0.5.0,"Nîmes, France",clustering_mean_bike,0.1.0,0.0007849293563579278,ok,
2025-01-01,osm,FR,0.5.0,"Nîmes, France",n_nodes_road,0.1.0,4235.0,ok,
2025-01-01,osm,FR,0.5.0,"Nîmes, France",n_nodes_bike,0.1.0,1274.0,ok,
2025-01-01,osm,FR,0.5.0,"Nîmes, France",n_edges_road,0.1.0,5490.0,ok,
2025-01-01,osm,FR,0.5.0,"Nîmes, France",n_edges_bike,0.1.0,2067.0,ok,
2025-01-01,osm,FR,0.5.0,"Nîmes, France",length_km_road,0.1.0,707.0224320059165,ok,
2025-01-01,osm,FR,0.5.0,"Nîmes, France",length_km_bike,0.1.0,90.53430069130033,ok,
2025-01-01,osm,FR,0.5.0,"Nîmes, France",edge_length_avg_m_road,0.1.0,128.78368524697933,ok,
2025-01-01,osm,FR,0.5.0,"Nîmes, France",edge_length_avg_m_bike,0.1.0,43.79985519656523,ok,
2025-01-01,osm,FR,0.5.0,"Nîmes, France",k_avg_road,0.1.0,2.592680047225502,ok,
2025-01-01,osm,FR,0.5.0,"Nîmes, France",k_avg_bike,0.1.0,3.2448979591836733,ok,
2025-01-01,osm,FR,0.5.0,"Nîmes, France",intersection_count_road,0.1.0,3106.0,ok,
2025-01-01,osm,FR,0.5.0,"Nîmes, France",intersection_count_bike,0.1.0,726.0,ok,
2025-01-01,osm,FR,0.5.0,"Nîmes, France",intersection_density_per_km_road,0.1.0,4.393071364352424,ok,
2025-01-01,osm,FR,0.5.0,"Nîmes, France",intersection_density_per_km_bike,0.1.0,8.019060118169811,ok,
2025-01-01,osm,FR,0.5.0,"Nîmes, France",dead_end_proportion_road,0.1.0,0.2665879574970484,ok,
2025-01-01,osm,FR,0.5.0,"Nîmes, France",dead_end_proportion_bike,0.1.0,0.06043956043956044,ok,
2025-01-01,osm,FR,0.5.0,"Nîmes, France",three_way_proportion_road,0.1.0,0.6113341204250295,ok,
2025-01-01,osm,FR,0.5.0,"Nîmes, France",three_way_proportion_bike,0.1.0,0.04866562009419152,ok,
2025-01-01,osm,FR,0.5.0,"Nîmes, France",four_way_proportion_road,0.1.0,0.12207792207792208,ok,
2025-01-01,osm,FR,0.5.0,"Nîmes, France",four_way_proportion_bike,0.1.0,0.521193092621664,ok,
2025-01-01,osm,FR,0.5.0,"Nîmes, France",self_loop_proportion_road,0.1.0,0.002185792349726776,ok,
2025-01-01,osm,FR,0.5.0,"Nîmes, France",self_loop_proportion_bike,0.1.0,0.0,ok,
2025-01-01,osm,FR,0.5.0,"Nîmes, France",circuity_avg_road,0.1.0,1.087820664693818,ok,
2025-01-01,osm,FR,0.5.0,"Nîmes, France",circuity_avg_bike,0.1.0,1.0319677536077465,ok,
2025-01-01,osm,FR,0.5.0,"Nîmes, France",linearity_mean_road,0.1.0,0.9563356415392628,ok,
2025-01-01,osm,FR,0.5.0,"Nîmes, France",linearity_mean_bike,0.1.0,0.9797069922162958,ok,
2025-01-01,osm,FR,0.5.0,"Nîmes, France",linearity_median_road,0.1.0,0.9980149269046561,ok,
2025-01-01,osm,FR,0.5.0,"Nîmes, France",linearity_median_bike,0.1.0,0.9999997474180174,ok,
2025-01-01,osm,FR,0.5.0,"Nîmes, France",orientation_entropy_road,0.1.0,3.56699831567543,ok,
2025-01-01,osm,FR,0.5.0,"Nîmes, France",orientation_entropy_bike,0.1.0,3.5084759301222417,ok,
2025-01-01,osm,FR,0.5.0,"Nîmes, France",orientation_order_road,0.1.0,0.014981185655825846,ok,
2025-01-01,osm,FR,0.5.0,"Nîmes, France",orientation_order_bike,0.1.0,0.06714062523795883,ok,
2025-01-01,osm,FR,0.5.0,"Nîmes, France",gamma_index_road,0.1.0,0.43231750531537916,ok,
2025-01-01,osm,FR,0.5.0,"Nîmes, France",gamma_index_bike,0.1.0,0.5416666666666666,ok,
2025-01-01,osm,FR,0.5.0,"Nîmes, France",alpha_index_road,0.1.0,0.14861193148257532,ok,
2025-01-01,osm,FR,0.5.0,"Nîmes, France",alpha_index_bike,0.1.0,0.3444750294927251,ok,
2025-01-01,osm,FR,0.5.0,"Nîmes, France",n_components_road,0.1.0,3.0,ok,
2025-01-01,osm,FR,0.5.0,"Nîmes, France",n_components_bike,0.1.0,83.0,ok,
2025-01-01,osm,FR,0.5.0,"Nîmes, France",components_per_km_road,0.1.0,0.004243146842581221,ok,
2025-01-01,osm,FR,0.5.0,"Nîmes, France",components_per_km_bike,0.1.0,0.9167796002866312,ok,
2025-01-01,osm,FR,0.5.0,"Nîmes, France",lcc_length_share_road,0.1.0,0.9997816853753941,ok,
2025-01-01,osm,FR,0.5.0,"Nîmes, France",lcc_length_share_bike,0.1.0,0.2629635815946256,ok,
2025-01-01,osm,FR,0.5.0,"Nîmes, France",lcc_length_km_road,0.1.0,706.8680786690852,ok,
2025-01-01,osm,FR,0.5.0,"Nîmes, France",lcc_length_km_bike,0.1.0,23.80722396694912,ok,
2025-01-01,osm,FR,0.5.0,"Nîmes, France",component_size_gini_road,0.1.0,0.6664995180109847,ok,
2025-01-01,osm,FR,0.5.0,"Nîmes, France",component_size_gini_bike,0.1.0,0.732376566078911,ok,
