snapshot_date,source,country,metric_version,place_id,metric,version,value,status,detail
2025-01-01,osm,US,0.5.0,"Outagamie, United States",betweenness_mean_road,0.1.0,0.007415437204350777,ok,
2025-01-01,osm,US,0.5.0,"Outagamie, United States",betweenness_mean_bike,0.1.0,0.0009125281853893388,ok,
2025-01-01,osm,US,0.5.0,"Outagamie, United States",betweenness_median_road,0.1.0,0.001047232570516232,ok,
2025-01-01,osm,US,0.5.0,"Outagamie, United States",betweenness_median_bike,0.1.0,5.640711220110362e-05,ok,
2025-01-01,osm,US,0.5.0,"Outagamie, United States",closeness_mean_road,0.1.0,5.92028838323134e-05,ok,
2025-01-01,osm,US,0.5.0,"Outagamie, United States",closeness_mean_bike,0.1.0,5.2918240378219036e-05,ok,
2025-01-01,osm,US,0.5.0,"Outagamie, United States",closeness_median_road,0.1.0,6.238446012913972e-05,ok,
2025-01-01,osm,US,0.5.0,"Outagamie, United States",closeness_median_bike,0.1.0,3.4470746791822135e-05,ok,
2025-01-01,osm,US,0.5.0,"Outagamie, United States",clustering_mean_road,0.1.0,0.031014454198811738,ok,
2025-01-01,osm,US,0.5.0,"Outagamie, United States",clustering_mean_bike,0.1.0,0.005715452133088384,ok,
2025-01-01,osm,US,0.5.0,"Outagamie, United States",n_nodes_road,0.1.0,7518.0,ok,
2025-01-01,osm,US,0.5.0,"Outagamie, United States",n_nodes_bike,0.1.0,1633.0,ok,
2025-01-01,osm,US,0.5.0,"Outagamie, United States",n_edges_road,0.1.0,10375.0,ok,
2025-01-01,osm,US,0.5.0,"Outagamie, United States",n_edges_bike,0.1.0,3077.0,ok,
2025-01-01,osm,US,0.5.0,"Outagamie, United States",length_km_road,0.1.0,3304.661624727205,ok,
2025-01-01,osm,US,0.5.0,"Outagamie, United States",length_km_bike,0.1.0,355.9041233568981,ok,
2025-01-01,osm,US,0.5.0,"Outagamie, United States",edge_length_avg_m_road,0.1.0,318.52160238334505,ok,
2025-01-01,osm,US,0.5.0,"Outagamie, United States",edge_length_avg_m_bike,0.1.0,115.66594844228082,ok,
2025-01-01,osm,US,0.5.0,"Outagamie, United States",k_avg_road,0.1.0,2.760042564511838,ok,
2025-01-01,osm,US,0.5.0,"Outagamie, United States",k_avg_bike,0.1.0,3.7685241886099203,ok,
2025-01-01,osm,US,0.5.0,"Outagamie, United States",intersection_count_road,0.1.0,5805.0,ok,
2025-01-01,osm,US,0.5.0,"Outagamie, United States",intersection_count_bike,0.1.0,1265.0,ok,
2025-01-01,osm,US,0.5.0,"Outagamie, United States",intersection_density_per_km_road,0.1.0,1.7566094987044836,ok,
2025-01-01,osm,US,0.5.0,"Outagamie, United States",intersection_density_per_km_bike,0.1.0,3.554328025392016,ok,
2025-01-01,osm,US,0.5.0,"Outagamie, United States",dead_end_proportion_road,0.1.0,0.22785315243415802,ok,
2025-01-01,osm,US,0.5.0,"Outagamie, United States",dead_end_proportion_bike,0.1.0,0.05695039804041641,ok,
2025-01-01,osm,US,0.5.0,"Outagamie, United States",three_way_proportion_road,0.1.0,0.5563979781856877,ok,
2025-01-01,osm,US,0.5.0,"Outagamie, United States",three_way_proportion_bike,0.1.0,0.039804041641151255,ok,
2025-01-01,osm,US,0.5.0,"Outagamie, United States",four_way_proportion_road,0.1.0,0.2157488693801543,ok,
2025-01-01,osm,US,0.5.0,"Outagamie, United States",four_way_proportion_bike,0.1.0,0.7348438456827924,ok,
2025-01-01,osm,US,0.5.0,"Outagamie, United States",self_loop_proportion_road,0.1.0,0.00163855421686747,ok,
2025-01-01,osm,US,0.5.0,"Outagamie, United States",self_loop_proportion_bike,0.1.0,0.0006499837504062399,ok,
2025-01-01,osm,US,0.5.0,"Outagamie, United States",circuity_avg_road,0.1.0,1.058788024553017,ok,
2025-01-01,osm,US,0.5.0,"Outagamie, United States",circuity_avg_bike,0.1.0,1.0411678821287416,ok,
2025-01-01,osm,US,0.5.0,"Outagamie, United States",linearity_mean_road,0.1.0,0.9666393687286297,ok,
2025-01-01,osm,US,0.5.0,"Outagamie, United States",linearity_mean_bike,0.1.0,0.9716218156647456,ok,
2025-01-01,osm,US,0.5.0,"Outagamie, United States",linearity_median_road,0.1.0,0.9999705257619064,ok,
2025-01-01,osm,US,0.5.0,"Outagamie, United States",linearity_median_bike,0.1.0,0.9990493369867003,ok,
2025-01-01,osm,US,0.5.0,"Outagamie, United States",orientation_entropy_road,0.1.0,2.7880607882622446,ok,
2025-01-01,osm,US,0.5.0,"Outagamie, United States",orientation_entropy_bike,0.1.0,3.2185462556689655,ok,
2025-01-01,osm,US,0.5.0,"Outagamie, United States",orientation_order_road,0.1.0,0.5929925000845659,ok,
2025-01-01,osm,US,0.5.0,"Outagamie, United States",orientation_order_bike,0.1.0,0.3046211741177386,ok,
2025-01-01,osm,US,0.5.0,"Outagamie, United States",connectivity_ratio_road,0.1.0,0.4601295015078943,ok,
2025-01-01,osm,US,0.5.0,"Outagamie, United States",connectivity_ratio_bike,0.1.0,0.6288575516043328,ok,
2025-01-01,osm,US,0.5.0,"Outagamie, United States",meshedness_road,0.1.0,0.19014037655511942,ok,
2025-01-01,osm,US,0.5.0,"Outagamie, United States",meshedness_bike,0.1.0,0.47040785035265253,ok,
2025-01-01,osm,US,0.5.0,"Outagamie, United States",n_components_road,0.1.0,1.0,ok,
2025-01-01,osm,US,0.5.0,"Outagamie, United States",n_components_bike,0.1.0,90.0,ok,
2025-01-01,osm,US,0.5.0,"Outagamie, United States",components_per_km_road,0.1.0,0.0003026028421540885,ok,
2025-01-01,osm,US,0.5.0,"Outagamie, United States",components_per_km_bike,0.1.0,0.2528770927156375,ok,
2025-01-01,osm,US,0.5.0,"Outagamie, United States",lcc_length_share_road,0.1.0,1.0000000000000038,ok,
2025-01-01,osm,US,0.5.0,"Outagamie, United States",lcc_length_share_bike,0.1.0,0.24988518222537529,ok,
2025-01-01,osm,US,0.5.0,"Outagamie, United States",lcc_length_km_road,0.1.0,3304.6616247272173,ok,
2025-01-01,osm,US,0.5.0,"Outagamie, United States",lcc_length_km_bike,0.1.0,88.93516671980092,ok,
2025-01-01,osm,US,0.5.0,"Outagamie, United States",component_size_gini_road,0.1.0,,ok,
2025-01-01,osm,US,0.5.0,"Outagamie, United States",component_size_gini_bike,0.1.0,0.7942944786353467,ok,
2025-01-01,osm,US,0.5.0,"Outagamie, United States",street_density_km2,0.1.0,1.9802058368301816,ok,
2025-01-01,osm,US,0.5.0,"Outagamie, United States",cycle_network_density_km2,0.1.0,0.2132634146715205,ok,
2025-01-01,osm,US,0.5.0,"Outagamie, United States",intersection_density_km2_road,0.1.0,3.4784483823659578,ok,
2025-01-01,osm,US,0.5.0,"Outagamie, United States",intersection_density_km2_bike,0.1.0,0.7580081315577841,ok,
2025-01-01,osm,US,0.5.0,"Outagamie, United States",low_stress_coverage,0.1.0,0.6263962946045492,ok,
2025-01-01,osm,US,0.5.0,"Outagamie, United States",lts1_coverage,0.1.0,0.3963071275844596,ok,
2025-01-01,osm,US,0.5.0,"Outagamie, United States",lts2_coverage,0.1.0,0.23008916702008966,ok,
2025-01-01,osm,US,0.5.0,"Outagamie, United States",bikeable_length_share,0.1.0,0.10769759926215666,ok,
2025-01-01,osm,US,0.5.0,"Outagamie, United States",entropy_gap_kl,0.1.0,0.32708245944288844,ok,
2025-01-01,osm,US,0.5.0,"Outagamie, United States",bike_lcc_share_of_road,0.1.0,0.026912034216859462,ok,
2025-01-01,osm,US,0.5.0,"Outagamie, United States",intersection_ratio_bike_road,0.1.0,0.21791559000861327,ok,
