snapshot_date,source,country,metric_version,place_id,metric,version,value,status,detail
2025-01-01,osm,US,0.5.0,"San Joaquin, United States",betweenness_mean_road,0.1.0,0.08241346609767664,ok,
2025-01-01,osm,US,0.5.0,"San Joaquin, United States",betweenness_mean_bike,0.1.0,,ok,
2025-01-01,osm,US,0.5.0,"San Joaquin, United States",betweenness_median_road,0.1.0,0.056576576576576575,ok,
2025-01-01,osm,US,0.5.0,"San Joaquin, United States",betweenness_median_bike,0.1.0,,ok,
2025-01-01,osm,US,0.5.0,"San Joaquin, United States",closeness_mean_road,0.1.0,0.0011088872942766445,ok,
2025-01-01,osm,US,0.5.0,"San Joaquin, United States",closeness_mean_bike,0.1.0,,ok,
2025-01-01,osm,US,0.5.0,"San Joaquin, United States",closeness_median_road,0.1.0,0.001100248912324264,ok,
2025-01-01,osm,US,0.5.0,"San Joaquin, United States",closeness_median_bike,0.1.0,,ok,
2025-01-01,osm,US,0.5.0,"San Joaquin, United States",clustering_mean_road,0.1.0,0.06578947368421052,ok,
2025-01-01,osm,US,0.5.0,"San Joaquin, United States",clustering_mean_bike,0.1.0,,ok,
2025-01-01,osm,US,0.5.0,"San Joaquin, United States",n_nodes_road,0.1.0,76.0,ok,
2025-01-01,osm,US,0.5.0,"San Joaquin, United States",n_nodes_bike,0.1.0,0.0,ok,
2025-01-01,osm,US,0.5.0,"San Joaquin, United States",n_edges_road,0.1.0,112.0,ok,
2025-01-01,osm,US,0.5.0,"San Joaquin, United States",n_edges_bike,0.1.0,0.0,ok,
2025-01-01,osm,US,0.5.0,"San Joaquin, United States",length_km_road,0.1.0,17.623392854612685,ok,
2025-01-01,osm,US,0.5.0,"San Joaquin, United States",length_km_bike,0.1.0,0.0,ok,
2025-01-01,osm,US,0.5.0,"San Joaquin, United States",edge_length_avg_m_road,0.1.0,157.3517219161847,ok,
2025-01-01,osm,US,0.5.0,"San Joaquin, United States",edge_length_avg_m_bike,0.1.0,,ok,
2025-01-01,osm,US,0.5.0,"San Joaquin, United States",k_avg_road,0.1.0,2.9473684210526314,ok,
2025-01-01,osm,US,0.5.0,"San Joaquin, United States",k_avg_bike,0.1.0,,ok,
2025-01-01,osm,US,0.5.0,"San Joaquin, United States",intersection_count_road,0.1.0,67.0,ok,
2025-01-01,osm,US,0.5.0,"San Joaquin, United States",intersection_count_bike,0.1.0,0.0,ok,
2025-01-01,osm,US,0.5.0,"San Joaquin, United States",intersection_density_per_km_road,0.1.0,3.8017651057732422,ok,
2025-01-01,osm,US,0.5.0,"San Joaquin, United States",intersection_density_per_km_bike,0.1.0,,ok,
2025-01-01,osm,US,0.5.0,"San Joaquin, United States",dead_end_proportion_road,0.1.0,0.11842105263157894,ok,
2025-01-01,osm,US,0.5.0,"San Joaquin, United States",dead_end_proportion_bike,0.1.0,,ok,
2025-01-01,osm,US,0.5.0,"San Joaquin, United States",three_way_proportion_road,0.1.0,0.6973684210526315,ok,
2025-01-01,osm,US,0.5.0,"San Joaquin, United States",three_way_proportion_bike,0.1.0,,ok,
2025-01-01,osm,US,0.5.0,"San Joaquin, United States",four_way_proportion_road,0.1.0,0.18421052631578946,ok,
2025-01-01,osm,US,0.5.0,"San Joaquin, United States",four_way_proportion_bike,0.1.0,,ok,
2025-01-01,osm,US,0.5.0,"San Joaquin, United States",self_loop_proportion_road,0.1.0,0.0,ok,
2025-01-01,osm,US,0.5.0,"San Joaquin, United States",self_loop_proportion_bike,0.1.0,,ok,
2025-01-01,osm,US,0.5.0,"San Joaquin, United States",circuity_avg_road,0.1.0,1.063856584150173,ok,
2025-01-01,osm,US,0.5.0,"San Joaquin, United States",circuity_avg_bike,0.1.0,,error,"IndexError: too many indices for array: array is 1-dimensional, but 2 were indexed"
2025-01-01,osm,US,0.5.0,"San Joaquin, United States",linearity_mean_road,0.1.0,0.9796483196407141,ok,
2025-01-01,osm,US,0.5.0,"San Joaquin, United States",linearity_mean_bike,0.1.0,,ok,
2025-01-01,osm,US,0.5.0,"San Joaquin, United States",linearity_median_road,0.1.0,0.9999953784127009,ok,
2025-01-01,osm,US,0.5.0,"San Joaquin, United States",linearity_median_bike,0.1.0,,ok,
2025-01-01,osm,US,0.5.0,"San Joaquin, United States",orientation_entropy_road,0.1.0,2.5508855796837215,ok,
2025-01-01,osm,US,0.5.0,"San Joaquin, United States",orientation_entropy_bike,0.1.0,,error,"IndexError: too many indices for array: array is 1-dimensional, but 2 were indexed"
2025-01-01,osm,US,0.5.0,"San Joaquin, United States",orientation_order_road,0.1.0,0.7190699958341913,ok,
2025-01-01,osm,US,0.5.0,"San Joaquin, United States",orientation_order_bike,0.1.0,,error,"IndexError: too many indices for array: array is 1-dimensional, but 2 were indexed"
2025-01-01,osm,US,0.5.0,"San Joaquin, United States",connectivity_ratio_road,0.1.0,0.5045045045045045,ok,
2025-01-01,osm,US,0.5.0,"San Joaquin, United States",connectivity_ratio_bike,0.1.0,,ok,
2025-01-01,osm,US,0.5.0,"San Joaquin, United States",meshedness_road,0.1.0,0.25170068027210885,ok,
2025-01-01,osm,US,0.5.0,"San Joaquin, United States",meshedness_bike,0.1.0,,ok,
2025-01-01,osm,US,0.5.0,"San Joaquin, United States",n_components_road,0.1.0,1.0,ok,
2025-01-01,osm,US,0.5.0,"San Joaquin, United States",n_components_bike,0.1.0,0.0,ok,
2025-01-01,osm,US,0.5.0,"San Joaquin, United States",components_per_km_road,0.1.0,0.05674276277273496,ok,
2025-01-01,osm,US,0.5.0,"San Joaquin, United States",components_per_km_bike,0.1.0,,ok,
2025-01-01,osm,US,0.5.0,"San Joaquin, United States",lcc_length_share_road,0.1.0,1.0,ok,
2025-01-01,osm,US,0.5.0,"San Joaquin, United States",lcc_length_share_bike,0.1.0,,ok,
2025-01-01,osm,US,0.5.0,"San Joaquin, United States",lcc_length_km_road,0.1.0,17.623392854612685,ok,
2025-01-01,osm,US,0.5.0,"San Joaquin, United States",lcc_length_km_bike,0.1.0,0.0,ok,
2025-01-01,osm,US,0.5.0,"San Joaquin, United States",component_size_gini_road,0.1.0,,ok,
2025-01-01,osm,US,0.5.0,"San Joaquin, United States",component_size_gini_bike,0.1.0,,ok,
2025-01-01,osm,US,0.5.0,"San Joaquin, United States",street_density_km2,0.1.0,5.9685484750269495,ok,
2025-01-01,osm,US,0.5.0,"San Joaquin, United States",cycle_network_density_km2,0.1.0,0.0,ok,
2025-01-01,osm,US,0.5.0,"San Joaquin, United States",intersection_density_km2_road,0.1.0,22.691019324473555,ok,
2025-01-01,osm,US,0.5.0,"San Joaquin, United States",intersection_density_km2_bike,0.1.0,0.0,ok,
2025-01-01,osm,US,0.5.0,"San Joaquin, United States",low_stress_coverage,0.1.0,0.8694005085173752,ok,
2025-01-01,osm,US,0.5.0,"San Joaquin, United States",lts1_coverage,0.1.0,0.3179341603518999,ok,
2025-01-01,osm,US,0.5.0,"San Joaquin, United States",lts2_coverage,0.1.0,0.5514663481654751,ok,
2025-01-01,osm,US,0.5.0,"San Joaquin, United States",bikeable_length_share,0.1.0,0.0,ok,
2025-01-01,osm,US,0.5.0,"San Joaquin, United States",entropy_gap_kl,0.1.0,,error,"IndexError: too many indices for array: array is 1-dimensional, but 2 were indexed"
2025-01-01,osm,US,0.5.0,"San Joaquin, United States",bike_lcc_share_of_road,0.1.0,0.0,ok,
2025-01-01,osm,US,0.5.0,"San Joaquin, United States",intersection_ratio_bike_road,0.1.0,0.0,ok,
2025-01-01,osm,US,0.5.0,"San Joaquin, United States",bike_offroad_share,0.1.0,,ok,
2025-01-01,osm,US,0.5.0,"San Joaquin, United States",modal_directness_gap,0.1.0,1.03329038876112,ok,
2025-01-01,osm,US,0.5.0,"San Joaquin, United States",low_stress_route_fraction,0.1.0,0.5527272727272727,ok,
2025-01-01,osm,US,0.5.0,"San Joaquin, United States",mean_route_lts,0.1.0,1.708722955363339,ok,
