snapshot_date,source,country,metric_version,place_id,metric,version,value,status,detail
2025-01-01,osm,ES,0.5.0,"Seville, Spain",betweenness_mean_road,0.1.0,0.0075962851030403865,ok,
2025-01-01,osm,ES,0.5.0,"Seville, Spain",betweenness_mean_bike,0.1.0,0.015620528571685666,ok,
2025-01-01,osm,ES,0.5.0,"Seville, Spain",betweenness_median_road,0.1.0,0.0017537414714440245,ok,
2025-01-01,osm,ES,0.5.0,"Seville, Spain",betweenness_median_bike,0.1.0,0.004324553571428571,ok,
2025-01-01,osm,ES,0.5.0,"Seville, Spain",closeness_mean_road,0.1.0,0.00019407940344600585,ok,
2025-01-01,osm,ES,0.5.0,"Seville, Spain",closeness_mean_bike,0.1.0,0.00012514536367791608,ok,
2025-01-01,osm,ES,0.5.0,"Seville, Spain",closeness_median_road,0.1.0,0.0001967999060902233,ok,
2025-01-01,osm,ES,0.5.0,"Seville, Spain",closeness_median_bike,0.1.0,0.0001401884697579573,ok,
2025-01-01,osm,ES,0.5.0,"Seville, Spain",clustering_mean_road,0.1.0,0.026101679811076948,ok,
2025-01-01,osm,ES,0.5.0,"Seville, Spain",clustering_mean_bike,0.1.0,0.00657444593187565,ok,
2025-01-01,osm,ES,0.5.0,"Seville, Spain",n_nodes_road,0.1.0,7481.0,ok,
2025-01-01,osm,ES,0.5.0,"Seville, Spain",n_nodes_bike,0.1.0,4482.0,ok,
2025-01-01,osm,ES,0.5.0,"Seville, Spain",n_edges_road,0.1.0,11105.0,ok,
2025-01-01,osm,ES,0.5.0,"Seville, Spain",n_edges_bike,0.1.0,9135.0,ok,
2025-01-01,osm,ES,0.5.0,"Seville, Spain",length_km_road,0.1.0,1038.3359314929016,ok,
2025-01-01,osm,ES,0.5.0,"Seville, Spain",length_km_bike,0.1.0,578.0420959378321,ok,
2025-01-01,osm,ES,0.5.0,"Seville, Spain",edge_length_avg_m_road,0.1.0,93.50165974722212,ok,
2025-01-01,osm,ES,0.5.0,"Seville, Spain",edge_length_avg_m_bike,0.1.0,63.27773354546601,ok,
2025-01-01,osm,ES,0.5.0,"Seville, Spain",k_avg_road,0.1.0,2.968854431225772,ok,
2025-01-01,osm,ES,0.5.0,"Seville, Spain",k_avg_bike,0.1.0,4.076305220883534,ok,
2025-01-01,osm,ES,0.5.0,"Seville, Spain",intersection_count_road,0.1.0,6605.0,ok,
2025-01-01,osm,ES,0.5.0,"Seville, Spain",intersection_count_bike,0.1.0,3807.0,ok,
2025-01-01,osm,ES,0.5.0,"Seville, Spain",intersection_density_per_km_road,0.1.0,6.361139781133688,ok,
2025-01-01,osm,ES,0.5.0,"Seville, Spain",intersection_density_per_km_bike,0.1.0,6.586025527818029,ok,
2025-01-01,osm,ES,0.5.0,"Seville, Spain",dead_end_proportion_road,0.1.0,0.1170966448335784,ok,
2025-01-01,osm,ES,0.5.0,"Seville, Spain",dead_end_proportion_bike,0.1.0,0.0024542614904060687,ok,
2025-01-01,osm,ES,0.5.0,"Seville, Spain",three_way_proportion_road,0.1.0,0.6860045448469456,ok,
2025-01-01,osm,ES,0.5.0,"Seville, Spain",three_way_proportion_bike,0.1.0,0.005131637661758144,ok,
2025-01-01,osm,ES,0.5.0,"Seville, Spain",four_way_proportion_road,0.1.0,0.196898810319476,ok,
2025-01-01,osm,ES,0.5.0,"Seville, Spain",four_way_proportion_bike,0.1.0,0.8442659526996876,ok,
2025-01-01,osm,ES,0.5.0,"Seville, Spain",self_loop_proportion_road,0.1.0,0.0011706438541197659,ok,
2025-01-01,osm,ES,0.5.0,"Seville, Spain",self_loop_proportion_bike,0.1.0,0.00021893814997263274,ok,
2025-01-01,osm,ES,0.5.0,"Seville, Spain",circuity_avg_road,0.1.0,1.0462746682772408,ok,
2025-01-01,osm,ES,0.5.0,"Seville, Spain",circuity_avg_bike,0.1.0,1.0422889745359616,ok,
2025-01-01,osm,ES,0.5.0,"Seville, Spain",linearity_mean_road,0.1.0,0.9798423861191733,ok,
2025-01-01,osm,ES,0.5.0,"Seville, Spain",linearity_mean_bike,0.1.0,0.9730121219298798,ok,
2025-01-01,osm,ES,0.5.0,"Seville, Spain",linearity_median_road,0.1.0,0.9999999930801725,ok,
2025-01-01,osm,ES,0.5.0,"Seville, Spain",linearity_median_bike,0.1.0,0.9999955686930603,ok,
2025-01-01,osm,ES,0.5.0,"Seville, Spain",orientation_entropy_road,0.1.0,3.5443381397940716,ok,
2025-01-01,osm,ES,0.5.0,"Seville, Spain",orientation_entropy_bike,0.1.0,3.5361909264109306,ok,
2025-01-01,osm,ES,0.5.0,"Seville, Spain",orientation_order_road,0.1.0,0.03534592143422177,ok,
2025-01-01,osm,ES,0.5.0,"Seville, Spain",orientation_order_bike,0.1.0,0.04261584550799924,ok,
2025-01-01,osm,ES,0.5.0,"Seville, Spain",connectivity_ratio_road,0.1.0,0.4949413914516201,ok,
2025-01-01,osm,ES,0.5.0,"Seville, Spain",connectivity_ratio_bike,0.1.0,0.6796875,ok,
2025-01-01,osm,ES,0.5.0,"Seville, Spain",meshedness_road,0.1.0,0.24276258608009627,ok,
2025-01-01,osm,ES,0.5.0,"Seville, Spain",meshedness_bike,0.1.0,0.5327603527179373,ok,
2025-01-01,osm,ES,0.5.0,"Seville, Spain",n_components_road,0.1.0,7.0,ok,
2025-01-01,osm,ES,0.5.0,"Seville, Spain",n_components_bike,0.1.0,120.0,ok,
2025-01-01,osm,ES,0.5.0,"Seville, Spain",components_per_km_road,0.1.0,0.006741556164713976,ok,
2025-01-01,osm,ES,0.5.0,"Seville, Spain",components_per_km_bike,0.1.0,0.2075973373622704,ok,
2025-01-01,osm,ES,0.5.0,"Seville, Spain",lcc_length_share_road,0.1.0,0.9981264933291668,ok,
2025-01-01,osm,ES,0.5.0,"Seville, Spain",lcc_length_share_bike,0.1.0,0.7827999653658128,ok,
2025-01-01,osm,ES,0.5.0,"Seville, Spain",lcc_length_km_road,0.1.0,1036.3906021986838,ok,
2025-01-01,osm,ES,0.5.0,"Seville, Spain",lcc_length_km_bike,0.1.0,452.49133268011667,ok,
2025-01-01,osm,ES,0.5.0,"Seville, Spain",component_size_gini_road,0.1.0,0.856294800913316,ok,
2025-01-01,osm,ES,0.5.0,"Seville, Spain",component_size_gini_bike,0.1.0,0.9415776222288261,ok,
2025-01-01,osm,ES,0.5.0,"Seville, Spain",street_density_km2,0.1.0,7.33541213006531,ok,
2025-01-01,osm,ES,0.5.0,"Seville, Spain",cycle_network_density_km2,0.1.0,4.083627344123877,ok,
2025-01-01,osm,ES,0.5.0,"Seville, Spain",intersection_density_km2_road,0.1.0,46.661581911569044,ok,
2025-01-01,osm,ES,0.5.0,"Seville, Spain",intersection_density_km2_bike,0.1.0,26.89487393449559,ok,
2025-01-01,osm,ES,0.5.0,"Seville, Spain",low_stress_coverage,0.1.0,0.7665479763438534,ok,
2025-01-01,osm,ES,0.5.0,"Seville, Spain",lts1_coverage,0.1.0,0.38166539534809757,ok,
2025-01-01,osm,ES,0.5.0,"Seville, Spain",lts2_coverage,0.1.0,0.3848825809957559,ok,
2025-01-01,osm,ES,0.5.0,"Seville, Spain",bikeable_length_share,0.1.0,0.556700465047697,ok,
2025-01-01,osm,ES,0.5.0,"Seville, Spain",entropy_gap_kl,0.1.0,0.025830136095614045,ok,
2025-01-01,osm,ES,0.5.0,"Seville, Spain",bike_lcc_share_of_road,0.1.0,0.43578510475846904,ok,
2025-01-01,osm,ES,0.5.0,"Seville, Spain",intersection_ratio_bike_road,0.1.0,0.5763815291445874,ok,
2025-01-01,osm,ES,0.5.0,"Seville, Spain",bike_offroad_share,0.1.0,0.9979688776629775,ok,
2025-01-01,osm,ES,0.5.0,"Seville, Spain",modal_directness_gap,0.1.0,1.1217871084077666,ok,
2025-01-01,osm,ES,0.5.0,"Seville, Spain",low_stress_route_fraction,0.1.0,0.44195194142617905,ok,
2025-01-01,osm,ES,0.5.0,"Seville, Spain",mean_route_lts,0.1.0,1.101185739585278,ok,
