snapshot_date,source,country,metric_version,place_id,metric,version,value,status,detail
2025-01-01,osm,ES,0.5.0,"Valladolid, Spain",betweenness_mean_road,0.1.0,0.01253784155097912,ok,
2025-01-01,osm,ES,0.5.0,"Valladolid, Spain",betweenness_mean_bike,0.1.0,0.02032954099614407,ok,
2025-01-01,osm,ES,0.5.0,"Valladolid, Spain",betweenness_median_road,0.1.0,0.00333709787816564,ok,
2025-01-01,osm,ES,0.5.0,"Valladolid, Spain",betweenness_median_bike,0.1.0,0.0013786173633440514,ok,
2025-01-01,osm,ES,0.5.0,"Valladolid, Spain",closeness_mean_road,0.1.0,0.00021611258407815915,ok,
2025-01-01,osm,ES,0.5.0,"Valladolid, Spain",closeness_mean_bike,0.1.0,8.688505164470372e-05,ok,
2025-01-01,osm,ES,0.5.0,"Valladolid, Spain",closeness_median_road,0.1.0,0.00022718234247784972,ok,
2025-01-01,osm,ES,0.5.0,"Valladolid, Spain",closeness_median_bike,0.1.0,9.682083377538425e-05,ok,
2025-01-01,osm,ES,0.5.0,"Valladolid, Spain",clustering_mean_road,0.1.0,0.036797005623955006,ok,
2025-01-01,osm,ES,0.5.0,"Valladolid, Spain",clustering_mean_bike,0.1.0,0.0050870147255689425,ok,
2025-01-01,osm,ES,0.5.0,"Valladolid, Spain",n_nodes_road,0.1.0,2924.0,ok,
2025-01-01,osm,ES,0.5.0,"Valladolid, Spain",n_nodes_bike,0.1.0,2490.0,ok,
2025-01-01,osm,ES,0.5.0,"Valladolid, Spain",n_edges_road,0.1.0,4208.0,ok,
2025-01-01,osm,ES,0.5.0,"Valladolid, Spain",n_edges_bike,0.1.0,4704.0,ok,
2025-01-01,osm,ES,0.5.0,"Valladolid, Spain",length_km_road,0.1.0,552.2011188767757,ok,
2025-01-01,osm,ES,0.5.0,"Valladolid, Spain",length_km_bike,0.1.0,306.29615223622847,ok,
2025-01-01,osm,ES,0.5.0,"Valladolid, Spain",edge_length_avg_m_road,0.1.0,131.22650163421477,ok,
2025-01-01,osm,ES,0.5.0,"Valladolid, Spain",edge_length_avg_m_bike,0.1.0,65.1139779413751,ok,
2025-01-01,osm,ES,0.5.0,"Valladolid, Spain",k_avg_road,0.1.0,2.878248974008208,ok,
2025-01-01,osm,ES,0.5.0,"Valladolid, Spain",k_avg_bike,0.1.0,3.778313253012048,ok,
2025-01-01,osm,ES,0.5.0,"Valladolid, Spain",intersection_count_road,0.1.0,2485.0,ok,
2025-01-01,osm,ES,0.5.0,"Valladolid, Spain",intersection_count_bike,0.1.0,1836.0,ok,
2025-01-01,osm,ES,0.5.0,"Valladolid, Spain",intersection_density_per_km_road,0.1.0,4.500171975483683,ok,
2025-01-01,osm,ES,0.5.0,"Valladolid, Spain",intersection_density_per_km_bike,0.1.0,5.994198708000744,ok,
2025-01-01,osm,ES,0.5.0,"Valladolid, Spain",dead_end_proportion_road,0.1.0,0.14979480164158687,ok,
2025-01-01,osm,ES,0.5.0,"Valladolid, Spain",dead_end_proportion_bike,0.1.0,0.012449799196787148,ok,
2025-01-01,osm,ES,0.5.0,"Valladolid, Spain",three_way_proportion_road,0.1.0,0.6771545827633378,ok,
2025-01-01,osm,ES,0.5.0,"Valladolid, Spain",three_way_proportion_bike,0.1.0,0.012048192771084338,ok,
2025-01-01,osm,ES,0.5.0,"Valladolid, Spain",four_way_proportion_road,0.1.0,0.17270861833105336,ok,
2025-01-01,osm,ES,0.5.0,"Valladolid, Spain",four_way_proportion_bike,0.1.0,0.7253012048192771,ok,
2025-01-01,osm,ES,0.5.0,"Valladolid, Spain",self_loop_proportion_road,0.1.0,0.0007129277566539924,ok,
2025-01-01,osm,ES,0.5.0,"Valladolid, Spain",self_loop_proportion_bike,0.1.0,0.0,ok,
2025-01-01,osm,ES,0.5.0,"Valladolid, Spain",circuity_avg_road,0.1.0,1.0603739683904956,ok,
2025-01-01,osm,ES,0.5.0,"Valladolid, Spain",circuity_avg_bike,0.1.0,1.036137864664212,ok,
2025-01-01,osm,ES,0.5.0,"Valladolid, Spain",linearity_mean_road,0.1.0,0.9725123133993133,ok,
2025-01-01,osm,ES,0.5.0,"Valladolid, Spain",linearity_mean_bike,0.1.0,0.9749538515657707,ok,
2025-01-01,osm,ES,0.5.0,"Valladolid, Spain",linearity_median_road,0.1.0,0.9999637834751562,ok,
2025-01-01,osm,ES,0.5.0,"Valladolid, Spain",linearity_median_bike,0.1.0,0.9999998629332059,ok,
2025-01-01,osm,ES,0.5.0,"Valladolid, Spain",orientation_entropy_road,0.1.0,3.5421669794740183,ok,
2025-01-01,osm,ES,0.5.0,"Valladolid, Spain",orientation_entropy_bike,0.1.0,3.503728189414852,ok,
2025-01-01,osm,ES,0.5.0,"Valladolid, Spain",orientation_order_road,0.1.0,0.03728597946678158,ok,
2025-01-01,osm,ES,0.5.0,"Valladolid, Spain",orientation_order_bike,0.1.0,0.07130993878371827,ok,
2025-01-01,osm,ES,0.5.0,"Valladolid, Spain",connectivity_ratio_road,0.1.0,0.48003650467716175,ok,
2025-01-01,osm,ES,0.5.0,"Valladolid, Spain",connectivity_ratio_bike,0.1.0,0.6302250803858521,ok,
2025-01-01,osm,ES,0.5.0,"Valladolid, Spain",meshedness_road,0.1.0,0.22094814307718638,ok,
2025-01-01,osm,ES,0.5.0,"Valladolid, Spain",meshedness_bike,0.1.0,0.46673366834170854,ok,
2025-01-01,osm,ES,0.5.0,"Valladolid, Spain",n_components_road,0.1.0,7.0,ok,
2025-01-01,osm,ES,0.5.0,"Valladolid, Spain",n_components_bike,0.1.0,108.0,ok,
2025-01-01,osm,ES,0.5.0,"Valladolid, Spain",components_per_km_road,0.1.0,0.012676540776010376,ok,
2025-01-01,osm,ES,0.5.0,"Valladolid, Spain",components_per_km_bike,0.1.0,0.3525999240000438,ok,
2025-01-01,osm,ES,0.5.0,"Valladolid, Spain",lcc_length_share_road,0.1.0,0.9971040646634708,ok,
2025-01-01,osm,ES,0.5.0,"Valladolid, Spain",lcc_length_share_bike,0.1.0,0.7137786171317043,ok,
2025-01-01,osm,ES,0.5.0,"Valladolid, Spain",lcc_length_km_road,0.1.0,550.6019801437495,ok,
2025-01-01,osm,ES,0.5.0,"Valladolid, Spain",lcc_length_km_bike,0.1.0,218.62764397593713,ok,
2025-01-01,osm,ES,0.5.0,"Valladolid, Spain",component_size_gini_road,0.1.0,0.8554523206384326,ok,
2025-01-01,osm,ES,0.5.0,"Valladolid, Spain",component_size_gini_bike,0.1.0,0.9015843713886689,ok,
2025-01-01,osm,ES,0.5.0,"Valladolid, Spain",street_density_km2,0.1.0,2.8000837018259483,ok,
2025-01-01,osm,ES,0.5.0,"Valladolid, Spain",cycle_network_density_km2,0.1.0,1.553156693259163,ok,
2025-01-01,osm,ES,0.5.0,"Valladolid, Spain",intersection_density_km2_road,0.1.0,12.600858203965744,ok,
2025-01-01,osm,ES,0.5.0,"Valladolid, Spain",intersection_density_km2_bike,0.1.0,9.309929844056784,ok,
2025-01-01,osm,ES,0.5.0,"Valladolid, Spain",low_stress_coverage,0.1.0,0.7777131587734187,ok,
2025-01-01,osm,ES,0.5.0,"Valladolid, Spain",lts1_coverage,0.1.0,0.40299966879390414,ok,
2025-01-01,osm,ES,0.5.0,"Valladolid, Spain",lts2_coverage,0.1.0,0.3747134899795145,ok,
2025-01-01,osm,ES,0.5.0,"Valladolid, Spain",bikeable_length_share,0.1.0,0.5546822376225188,ok,
2025-01-01,osm,ES,0.5.0,"Valladolid, Spain",entropy_gap_kl,0.1.0,0.035022767261218196,ok,
2025-01-01,osm,ES,0.5.0,"Valladolid, Spain",bike_lcc_share_of_road,0.1.0,0.39592032051772086,ok,
2025-01-01,osm,ES,0.5.0,"Valladolid, Spain",intersection_ratio_bike_road,0.1.0,0.7388329979879276,ok,
2025-01-01,osm,ES,0.5.0,"Valladolid, Spain",bike_offroad_share,0.1.0,1.0,ok,
2025-01-01,osm,ES,0.5.0,"Valladolid, Spain",modal_directness_gap,0.1.0,1.1562527976954726,ok,
2025-01-01,osm,ES,0.5.0,"Valladolid, Spain",low_stress_route_fraction,0.1.0,0.4613846733048592,ok,
2025-01-01,osm,ES,0.5.0,"Valladolid, Spain",mean_route_lts,0.1.0,1.2066039624233182,ok,
