snapshot_date,source,country,metric_version,place_id,metric,version,value,status,detail
2025-01-01,osm,UK,0.5.0,"Watford, United Kingdom",betweenness_mean_road,0.1.0,0.020779918840126137,ok,
2025-01-01,osm,UK,0.5.0,"Watford, United Kingdom",betweenness_mean_bike,0.1.0,0.0024171523557217807,ok,
2025-01-01,osm,UK,0.5.0,"Watford, United Kingdom",betweenness_median_road,0.1.0,0.003276674645730386,ok,
2025-01-01,osm,UK,0.5.0,"Watford, United Kingdom",betweenness_median_bike,0.1.0,0.00013570204145239208,ok,
2025-01-01,osm,UK,0.5.0,"Watford, United Kingdom",closeness_mean_road,0.1.0,0.00029009526263743077,ok,
2025-01-01,osm,UK,0.5.0,"Watford, United Kingdom",closeness_mean_bike,0.1.0,0.00018771629045119195,ok,
2025-01-01,osm,UK,0.5.0,"Watford, United Kingdom",closeness_median_road,0.1.0,0.0002832284026274779,ok,
2025-01-01,osm,UK,0.5.0,"Watford, United Kingdom",closeness_median_bike,0.1.0,0.0001468227113512136,ok,
2025-01-01,osm,UK,0.5.0,"Watford, United Kingdom",clustering_mean_road,0.1.0,0.020599489795918365,ok,
2025-01-01,osm,UK,0.5.0,"Watford, United Kingdom",clustering_mean_bike,0.1.0,0.006698821007502679,ok,
2025-01-01,osm,UK,0.5.0,"Watford, United Kingdom",n_nodes_road,0.1.0,1568.0,ok,
2025-01-01,osm,UK,0.5.0,"Watford, United Kingdom",n_nodes_bike,0.1.0,622.0,ok,
2025-01-01,osm,UK,0.5.0,"Watford, United Kingdom",n_edges_road,0.1.0,1861.0,ok,
2025-01-01,osm,UK,0.5.0,"Watford, United Kingdom",n_edges_bike,0.1.0,1098.0,ok,
2025-01-01,osm,UK,0.5.0,"Watford, United Kingdom",length_km_road,0.1.0,205.33289725978312,ok,
2025-01-01,osm,UK,0.5.0,"Watford, United Kingdom",length_km_bike,0.1.0,63.60206349331857,ok,
2025-01-01,osm,UK,0.5.0,"Watford, United Kingdom",edge_length_avg_m_road,0.1.0,110.3347110477072,ok,
2025-01-01,osm,UK,0.5.0,"Watford, United Kingdom",edge_length_avg_m_bike,0.1.0,57.92537658772183,ok,
2025-01-01,osm,UK,0.5.0,"Watford, United Kingdom",k_avg_road,0.1.0,2.373724489795918,ok,
2025-01-01,osm,UK,0.5.0,"Watford, United Kingdom",k_avg_bike,0.1.0,3.530546623794212,ok,
2025-01-01,osm,UK,0.5.0,"Watford, United Kingdom",intersection_count_road,0.1.0,1030.0,ok,
2025-01-01,osm,UK,0.5.0,"Watford, United Kingdom",intersection_count_bike,0.1.0,419.0,ok,
2025-01-01,osm,UK,0.5.0,"Watford, United Kingdom",intersection_density_per_km_road,0.1.0,5.016244419406718,ok,
2025-01-01,osm,UK,0.5.0,"Watford, United Kingdom",intersection_density_per_km_bike,0.1.0,6.58783657300704,ok,
2025-01-01,osm,UK,0.5.0,"Watford, United Kingdom",dead_end_proportion_road,0.1.0,0.34311224489795916,ok,
2025-01-01,osm,UK,0.5.0,"Watford, United Kingdom",dead_end_proportion_bike,0.1.0,0.0819935691318328,ok,
2025-01-01,osm,UK,0.5.0,"Watford, United Kingdom",three_way_proportion_road,0.1.0,0.6001275510204082,ok,
2025-01-01,osm,UK,0.5.0,"Watford, United Kingdom",three_way_proportion_bike,0.1.0,0.01607717041800643,ok,
2025-01-01,osm,UK,0.5.0,"Watford, United Kingdom",four_way_proportion_road,0.1.0,0.056760204081632654,ok,
2025-01-01,osm,UK,0.5.0,"Watford, United Kingdom",four_way_proportion_bike,0.1.0,0.657556270096463,ok,
2025-01-01,osm,UK,0.5.0,"Watford, United Kingdom",self_loop_proportion_road,0.1.0,0.0037614185921547557,ok,
2025-01-01,osm,UK,0.5.0,"Watford, United Kingdom",self_loop_proportion_bike,0.1.0,0.0,ok,
2025-01-01,osm,UK,0.5.0,"Watford, United Kingdom",circuity_avg_road,0.1.0,1.0906011577420414,ok,
2025-01-01,osm,UK,0.5.0,"Watford, United Kingdom",circuity_avg_bike,0.1.0,1.0508314260238745,ok,
2025-01-01,osm,UK,0.5.0,"Watford, United Kingdom",linearity_mean_road,0.1.0,0.9535630572215781,ok,
2025-01-01,osm,UK,0.5.0,"Watford, United Kingdom",linearity_mean_bike,0.1.0,0.9649661237379578,ok,
2025-01-01,osm,UK,0.5.0,"Watford, United Kingdom",linearity_median_road,0.1.0,0.9982017488564862,ok,
2025-01-01,osm,UK,0.5.0,"Watford, United Kingdom",linearity_median_bike,0.1.0,0.9985921567441058,ok,
2025-01-01,osm,UK,0.5.0,"Watford, United Kingdom",orientation_entropy_road,0.1.0,3.5487472175061283,ok,
2025-01-01,osm,UK,0.5.0,"Watford, United Kingdom",orientation_entropy_bike,0.1.0,3.4634470694506416,ok,
2025-01-01,osm,UK,0.5.0,"Watford, United Kingdom",orientation_order_road,0.1.0,0.03140014451300177,ok,
2025-01-01,osm,UK,0.5.0,"Watford, United Kingdom",orientation_order_bike,0.1.0,0.10630782373328707,ok,
2025-01-01,osm,UK,0.5.0,"Watford, United Kingdom",connectivity_ratio_road,0.1.0,0.3961260110685398,ok,
2025-01-01,osm,UK,0.5.0,"Watford, United Kingdom",connectivity_ratio_bike,0.1.0,0.5903225806451613,ok,
2025-01-01,osm,UK,0.5.0,"Watford, United Kingdom",meshedness_road,0.1.0,0.09389971255190036,ok,
2025-01-01,osm,UK,0.5.0,"Watford, United Kingdom",meshedness_bike,0.1.0,0.43825665859564167,ok,
2025-01-01,osm,UK,0.5.0,"Watford, United Kingdom",n_components_road,0.1.0,1.0,ok,
